DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
31,OCO,1.0,,,0,nan,True,0 days 00:01:50.822000
31,OCO,2.0,1.0,4.0,17444,HYPERSOFT,False,0 days 00:02:08.981000
31,OCO,3.0,1.0,5.0,21805,HYPERSOFT,False,0 days 00:02:04.665000
31,OCO,4.0,1.0,6.0,26166,HYPERSOFT,False,0 days 00:02:01.921000
31,OCO,5.0,1.0,7.0,30527,HYPERSOFT,False,0 days 00:01:19.962000
31,OCO,6.0,1.0,8.0,34888,HYPERSOFT,False,0 days 00:01:17.893000
31,OCO,7.0,1.0,9.0,39249,HYPERSOFT,False,0 days 00:01:17.182000
31,OCO,8.0,1.0,10.0,43610,HYPERSOFT,False,0 days 00:01:17.146000
31,OCO,9.0,1.0,11.0,47971,HYPERSOFT,False,0 days 00:01:17.070000
31,OCO,10.0,1.0,12.0,52332,HYPERSOFT,False,0 days 00:01:16.860000
31,OCO,11.0,1.0,13.0,56693,HYPERSOFT,False,0 days 00:01:34.494000
31,OCO,12.0,2.0,1.0,4361,SUPERSOFT,True,0 days 00:01:19.071000
31,OCO,13.0,2.0,2.0,8722,SUPERSOFT,True,0 days 00:01:16.721000
31,OCO,14.0,2.0,3.0,13083,SUPERSOFT,True,0 days 00:01:16.883000
31,OCO,15.0,2.0,4.0,17444,SUPERSOFT,True,0 days 00:01:17.785000
31,OCO,16.0,2.0,5.0,21805,SUPERSOFT,True,0 days 00:01:17.239000
31,OCO,17.0,2.0,6.0,26166,SUPERSOFT,True,0 days 00:01:17.240000
31,OCO,18.0,2.0,7.0,30527,SUPERSOFT,True,0 days 00:01:17.064000
31,OCO,19.0,2.0,8.0,34888,SUPERSOFT,True,0 days 00:01:17.264000
31,OCO,20.0,2.0,9.0,39249,SUPERSOFT,True,0 days 00:01:17.112000
31,OCO,21.0,2.0,10.0,43610,SUPERSOFT,True,0 days 00:01:16.961000
31,OCO,22.0,2.0,11.0,47971,SUPERSOFT,True,0 days 00:01:17.148000
31,OCO,23.0,2.0,12.0,52332,SUPERSOFT,True,0 days 00:01:16.898000
