DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
31,OCO,1.0,,,0,nan,True,0,0 days 00:02:00.261000
31,OCO,2.0,1.0,1.0,4657,SOFT,True,9314,
31,OCO,3.0,1.0,2.0,9314,SOFT,True,13971,0 days 00:02:11.580000
31,OCO,4.0,1.0,3.0,13971,SOFT,True,18628,0 days 00:02:10.739000
31,OCO,5.0,1.0,4.0,18628,SOFT,True,23285,0 days 00:02:09.448000
31,OCO,6.0,1.0,5.0,23285,SOFT,True,27942,0 days 00:02:06.196000
31,OCO,7.0,1.0,6.0,27942,SOFT,True,32599,0 days 00:01:28.685000
31,OCO,8.0,1.0,7.0,32599,SOFT,True,37256,0 days 00:01:25.963000
31,OCO,9.0,1.0,8.0,37256,SOFT,True,41913,0 days 00:01:25.174000
31,OCO,10.0,1.0,9.0,41913,SOFT,True,46570,0 days 00:01:24.671000
31,OCO,11.0,1.0,10.0,46570,SOFT,True,51227,0 days 00:01:24.377000
31,OCO,12.0,1.0,11.0,51227,SOFT,True,55884,0 days 00:01:24.629000
31,OCO,13.0,1.0,12.0,55884,SOFT,True,60541,0 days 00:01:24.525000
31,OCO,14.0,1.0,13.0,60541,SOFT,True,65198,0 days 00:01:24.685000
31,OCO,15.0,1.0,14.0,65198,SOFT,True,69855,0 days 00:01:24.527000
31,OCO,16.0,1.0,15.0,69855,SOFT,True,74512,0 days 00:01:24.173000
31,OCO,17.0,1.0,16.0,74512,SOFT,True,79169,0 days 00:01:24.246000
31,OCO,18.0,1.0,17.0,79169,SOFT,True,83826,0 days 00:01:24.109000
31,OCO,19.0,1.0,18.0,83826,SOFT,True,88483,0 days 00:01:23.893000
31,OCO,20.0,1.0,19.0,88483,SOFT,True,93140,0 days 00:01:23.557000
31,OCO,21.0,1.0,20.0,93140,SOFT,True,97797,0 days 00:01:23.687000
31,OCO,22.0,1.0,21.0,97797,SOFT,True,102454,0 days 00:01:23.405000
31,OCO,23.0,1.0,22.0,102454,SOFT,True,107111,0 days 00:01:23.350000
31,OCO,24.0,1.0,23.0,107111,SOFT,True,111768,0 days 00:01:23.460000
31,OCO,25.0,1.0,24.0,111768,SOFT,True,116425,0 days 00:01:23.716000
31,OCO,26.0,1.0,25.0,116425,SOFT,True,121082,0 days 00:01:23.340000
31,OCO,27.0,1.0,26.0,121082,SOFT,True,125739,0 days 00:01:23.448000
31,OCO,28.0,1.0,27.0,125739,SOFT,True,130396,0 days 00:01:23.585000
31,OCO,29.0,1.0,28.0,130396,SOFT,True,135053,0 days 00:01:27.102000
31,OCO,30.0,2.0,1.0,4657,MEDIUM,True,139710,0 days 00:02:07.590000
31,OCO,31.0,2.0,2.0,9314,MEDIUM,True,144367,0 days 00:01:22.922000
31,OCO,32.0,2.0,3.0,13971,MEDIUM,True,149024,0 days 00:01:22.666000
31,OCO,33.0,2.0,4.0,18628,MEDIUM,True,153681,0 days 00:01:23.343000
31,OCO,34.0,2.0,5.0,23285,MEDIUM,True,158338,0 days 00:01:24.285000
31,OCO,35.0,2.0,6.0,27942,MEDIUM,True,162995,0 days 00:01:22.282000
31,OCO,36.0,2.0,7.0,32599,MEDIUM,True,167652,0 days 00:01:22.117000
31,OCO,37.0,2.0,8.0,37256,MEDIUM,True,172309,0 days 00:01:24.816000
31,OCO,38.0,2.0,9.0,41913,MEDIUM,True,176966,0 days 00:01:22.319000
31,OCO,39.0,2.0,10.0,46570,MEDIUM,True,181623,
