DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
33,VER,1.0,1.0,4.0,21124,MEDIUM,False,5281,0 days 00:01:47.616000
33,VER,2.0,1.0,5.0,26405,MEDIUM,False,10562,0 days 00:01:43.281000
33,VER,3.0,1.0,6.0,31686,MEDIUM,False,15843,0 days 00:01:43.245000
33,VER,4.0,1.0,7.0,36967,MEDIUM,False,21124,0 days 00:01:43.308000
33,VER,5.0,1.0,8.0,42248,MEDIUM,False,26405,0 days 00:01:43.506000
33,VER,6.0,1.0,9.0,47529,MEDIUM,False,31686,0 days 00:01:43.799000
33,VER,7.0,1.0,10.0,52810,MEDIUM,False,36967,0 days 00:01:43.256000
33,VER,8.0,1.0,11.0,58091,MEDIUM,False,42248,0 days 00:01:43.206000
33,VER,9.0,1.0,12.0,63372,MEDIUM,False,47529,0 days 00:01:43.303000
33,VER,10.0,1.0,13.0,68653,MEDIUM,False,52810,0 days 00:01:43.442000
33,VER,11.0,1.0,14.0,73934,MEDIUM,False,58091,0 days 00:01:43.404000
33,VER,12.0,1.0,15.0,79215,MEDIUM,False,63372,0 days 00:01:43.252000
33,VER,13.0,1.0,16.0,84496,MEDIUM,False,68653,0 days 00:01:43.010000
33,VER,14.0,1.0,17.0,89777,MEDIUM,False,73934,0 days 00:01:42.876000
33,VER,15.0,1.0,18.0,95058,MEDIUM,False,79215,0 days 00:01:43.057000
33,VER,16.0,1.0,19.0,100339,MEDIUM,False,84496,0 days 00:01:42.834000
33,VER,17.0,1.0,20.0,105620,MEDIUM,False,89777,0 days 00:01:43.060000
33,VER,18.0,1.0,21.0,110901,MEDIUM,False,95058,0 days 00:01:43.168000
33,VER,19.0,1.0,22.0,116182,MEDIUM,False,100339,0 days 00:01:43.166000
33,VER,20.0,1.0,23.0,121463,MEDIUM,False,105620,0 days 00:01:43.010000
33,VER,21.0,1.0,24.0,126744,MEDIUM,False,110901,0 days 00:01:43.024000
33,VER,22.0,1.0,25.0,132025,MEDIUM,False,116182,0 days 00:01:43.190000
33,VER,23.0,1.0,26.0,137306,MEDIUM,False,121463,0 days 00:01:43.063000
33,VER,24.0,1.0,27.0,142587,MEDIUM,False,126744,0 days 00:01:43.259000
33,VER,25.0,1.0,28.0,147868,MEDIUM,False,132025,0 days 00:01:45.216000
33,VER,26.0,2.0,1.0,5281,HARD,True,137306,0 days 00:02:02.305000
33,VER,27.0,2.0,2.0,10562,HARD,True,142587,0 days 00:01:42.898000
33,VER,28.0,2.0,3.0,15843,HARD,True,147868,0 days 00:01:41.651000
33,VER,29.0,2.0,4.0,21124,HARD,True,153149,0 days 00:01:41.701000
33,VER,30.0,2.0,5.0,26405,HARD,True,158430,0 days 00:01:41.897000
33,VER,31.0,2.0,6.0,31686,HARD,True,163711,0 days 00:01:42.521000
33,VER,32.0,2.0,7.0,36967,HARD,True,168992,0 days 00:01:42.598000
33,VER,33.0,2.0,8.0,42248,HARD,True,174273,0 days 00:01:41.983000
33,VER,34.0,2.0,9.0,47529,HARD,True,179554,0 days 00:01:41.694000
33,VER,35.0,2.0,10.0,52810,HARD,True,184835,0 days 00:01:42.286000
33,VER,36.0,2.0,11.0,58091,HARD,True,190116,0 days 00:01:42.561000
33,VER,37.0,2.0,12.0,63372,HARD,True,195397,0 days 00:01:41.776000
33,VER,38.0,2.0,13.0,68653,HARD,True,200678,0 days 00:01:41.555000
33,VER,39.0,2.0,14.0,73934,HARD,True,205959,0 days 00:01:41.541000
33,VER,40.0,2.0,15.0,79215,HARD,True,211240,0 days 00:01:41.778000
33,VER,41.0,2.0,16.0,84496,HARD,True,216521,0 days 00:01:41.824000
33,VER,42.0,2.0,17.0,89777,HARD,True,221802,0 days 00:01:41.915000
33,VER,43.0,2.0,18.0,95058,HARD,True,227083,0 days 00:01:41.755000
33,VER,44.0,2.0,19.0,100339,HARD,True,232364,0 days 00:01:42.046000
33,VER,45.0,2.0,20.0,105620,HARD,True,237645,0 days 00:01:41.955000
33,VER,46.0,2.0,21.0,110901,HARD,True,242926,0 days 00:01:41.674000
33,VER,47.0,2.0,22.0,116182,HARD,True,248207,0 days 00:01:41.592000
33,VER,48.0,2.0,23.0,121463,HARD,True,253488,0 days 00:01:41.273000
33,VER,49.0,2.0,24.0,126744,HARD,True,258769,0 days 00:01:41.775000
33,VER,50.0,2.0,25.0,132025,HARD,True,264050,0 days 00:01:41.333000
33,VER,51.0,2.0,26.0,137306,HARD,True,269331,0 days 00:01:41.774000
33,VER,52.0,2.0,27.0,142587,HARD,True,274612,0 days 00:01:41.743000
33,VER,53.0,2.0,28.0,147868,HARD,True,279893,0 days 00:01:41.849000
33,VER,54.0,2.0,29.0,153149,HARD,True,285174,0 days 00:01:41.564000
33,VER,55.0,2.0,30.0,158430,HARD,True,290455,0 days 00:01:41.119000
