Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
33,1.0,1.0,6.0,35346,MEDIUM,False,0 days 00:01:36.721000
33,2.0,1.0,7.0,41237,MEDIUM,False,0 days 00:01:32.195000
33,3.0,1.0,8.0,47128,MEDIUM,False,0 days 00:01:31.929000
33,4.0,1.0,9.0,53019,MEDIUM,False,0 days 00:01:31.616000
33,5.0,1.0,10.0,58910,MEDIUM,False,0 days 00:01:31.924000
33,6.0,1.0,11.0,64801,MEDIUM,False,0 days 00:01:31.390000
33,7.0,1.0,12.0,70692,MEDIUM,False,0 days 00:01:31.358000
33,8.0,1.0,13.0,76583,MEDIUM,False,0 days 00:01:31.374000
33,9.0,1.0,14.0,82474,MEDIUM,False,0 days 00:01:31.658000
33,10.0,1.0,15.0,88365,MEDIUM,False,0 days 00:01:31.964000
33,11.0,1.0,16.0,94256,MEDIUM,False,0 days 00:01:32.753000
33,12.0,1.0,17.0,100147,MEDIUM,False,0 days 00:01:31.322000
33,13.0,1.0,18.0,106038,MEDIUM,False,0 days 00:01:31.138000
33,14.0,2.0,1.0,5891,MEDIUM,True,0 days 00:01:52.071000
33,15.0,2.0,2.0,11782,MEDIUM,True,0 days 00:01:30.911000
33,16.0,2.0,3.0,17673,MEDIUM,True,0 days 00:01:31.639000
33,17.0,2.0,4.0,23564,MEDIUM,True,0 days 00:01:31.578000
33,18.0,2.0,5.0,29455,MEDIUM,True,0 days 00:01:31.852000
33,19.0,2.0,6.0,35346,MEDIUM,True,0 days 00:01:30.921000
33,20.0,2.0,7.0,41237,MEDIUM,True,0 days 00:01:51.639000
33,21.0,3.0,1.0,5891,HARD,True,0 days 00:02:24.124000
33,22.0,3.0,2.0,11782,HARD,True,0 days 00:02:04.472000
33,23.0,3.0,3.0,17673,HARD,True,0 days 00:02:18.979000
33,24.0,3.0,4.0,23564,HARD,True,0 days 00:01:34.143000
33,25.0,3.0,5.0,29455,HARD,True,0 days 00:01:30.740000
33,26.0,3.0,6.0,35346,HARD,True,0 days 00:01:30.983000
33,27.0,3.0,7.0,41237,HARD,True,0 days 00:01:29.939000
33,28.0,3.0,8.0,47128,HARD,True,0 days 00:01:29.825000
33,29.0,3.0,9.0,53019,HARD,True,0 days 00:01:30.028000
33,30.0,3.0,10.0,58910,HARD,True,0 days 00:01:29.857000
33,31.0,3.0,11.0,64801,HARD,True,0 days 00:01:30.081000
33,32.0,3.0,12.0,70692,HARD,True,0 days 00:01:29.695000
33,33.0,3.0,13.0,76583,HARD,True,0 days 00:01:29.680000
33,34.0,3.0,14.0,82474,HARD,True,0 days 00:01:29.450000
33,35.0,3.0,15.0,88365,HARD,True,0 days 00:01:29.524000
33,36.0,3.0,16.0,94256,HARD,True,0 days 00:01:29.277000
33,37.0,3.0,17.0,100147,HARD,True,0 days 00:01:42.905000
33,38.0,3.0,18.0,106038,HARD,True,0 days 00:01:31.509000
33,39.0,3.0,19.0,111929,HARD,True,0 days 00:01:29.951000
33,40.0,3.0,20.0,117820,HARD,True,0 days 00:01:29.717000
33,41.0,3.0,21.0,123711,HARD,True,0 days 00:01:29.653000
33,42.0,3.0,22.0,129602,HARD,True,0 days 00:01:29.775000
33,43.0,3.0,23.0,135493,HARD,True,0 days 00:01:29.409000
33,44.0,3.0,24.0,141384,HARD,True,0 days 00:01:29.532000
33,45.0,3.0,25.0,147275,HARD,True,0 days 00:01:29.272000
33,46.0,3.0,26.0,153166,HARD,True,0 days 00:01:29.343000
33,47.0,3.0,27.0,159057,HARD,True,0 days 00:01:29.291000
33,48.0,3.0,28.0,164948,HARD,True,0 days 00:01:29.734000
33,49.0,3.0,29.0,170839,HARD,True,0 days 00:01:29.903000
33,50.0,3.0,30.0,176730,HARD,True,0 days 00:01:29.716000
33,51.0,3.0,31.0,182621,HARD,True,0 days 00:01:29.595000
33,52.0,3.0,32.0,188512,HARD,True,0 days 00:01:29.855000
