DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
3,RIC,1.0,1.0,4.0,17216,ULTRASOFT,False,0 days 00:01:25.456000
3,RIC,2.0,1.0,5.0,21520,ULTRASOFT,False,0 days 00:01:21.553000
3,RIC,3.0,1.0,6.0,25824,ULTRASOFT,False,0 days 00:01:21.694000
3,RIC,4.0,1.0,7.0,30128,ULTRASOFT,False,0 days 00:01:21.369000
3,RIC,5.0,1.0,8.0,34432,ULTRASOFT,False,0 days 00:01:39.891000
3,RIC,6.0,1.0,9.0,38736,ULTRASOFT,False,0 days 00:01:22.074000
3,RIC,7.0,1.0,10.0,43040,ULTRASOFT,False,0 days 00:01:21.322000
3,RIC,8.0,1.0,11.0,47344,ULTRASOFT,False,0 days 00:01:21.609000
3,RIC,9.0,1.0,12.0,51648,ULTRASOFT,False,0 days 00:01:21.878000
3,RIC,10.0,1.0,13.0,55952,ULTRASOFT,False,0 days 00:01:22.510000
3,RIC,11.0,1.0,14.0,60256,ULTRASOFT,False,0 days 00:01:23.433000
3,RIC,12.0,1.0,15.0,64560,ULTRASOFT,False,0 days 00:01:25.232000
3,RIC,13.0,2.0,1.0,4304,SUPERSOFT,True,0 days 00:01:40.006000
3,RIC,14.0,2.0,2.0,8608,SUPERSOFT,True,0 days 00:01:21.623000
3,RIC,15.0,2.0,3.0,12912,SUPERSOFT,True,0 days 00:01:21.004000
3,RIC,16.0,2.0,4.0,17216,SUPERSOFT,True,0 days 00:01:22.555000
3,RIC,17.0,2.0,5.0,21520,SUPERSOFT,True,0 days 00:01:22.196000
3,RIC,18.0,2.0,6.0,25824,SUPERSOFT,True,0 days 00:01:22.491000
3,RIC,19.0,2.0,7.0,30128,SUPERSOFT,True,0 days 00:01:21.940000
3,RIC,20.0,2.0,8.0,34432,SUPERSOFT,True,0 days 00:01:21.810000
3,RIC,21.0,2.0,9.0,38736,SUPERSOFT,True,0 days 00:01:21.544000
3,RIC,22.0,2.0,10.0,43040,SUPERSOFT,True,0 days 00:01:21.289000
3,RIC,23.0,2.0,11.0,47344,SUPERSOFT,True,0 days 00:01:21.034000
3,RIC,24.0,2.0,12.0,51648,SUPERSOFT,True,0 days 00:01:21.455000
3,RIC,25.0,2.0,13.0,55952,SUPERSOFT,True,0 days 00:01:21.399000
3,RIC,26.0,2.0,14.0,60256,SUPERSOFT,True,0 days 00:01:21.740000
3,RIC,27.0,2.0,15.0,64560,SUPERSOFT,True,0 days 00:01:21.945000
3,RIC,28.0,2.0,16.0,68864,SUPERSOFT,True,0 days 00:01:22.169000
3,RIC,29.0,2.0,17.0,73168,SUPERSOFT,True,0 days 00:01:22.823000
