DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
3,RIC,1.0,1.0,4.0,18628,SOFT,False,0 days 00:01:35.756000
3,RIC,2.0,1.0,5.0,23285,SOFT,False,0 days 00:01:26.364000
3,RIC,3.0,1.0,6.0,27942,SOFT,False,0 days 00:01:25.278000
3,RIC,4.0,1.0,7.0,32599,SOFT,False,0 days 00:01:24.611000
3,RIC,5.0,1.0,8.0,37256,SOFT,False,0 days 00:01:24.595000
3,RIC,6.0,1.0,9.0,41913,SOFT,False,0 days 00:01:24.993000
3,RIC,7.0,1.0,10.0,46570,SOFT,False,0 days 00:01:24.798000
3,RIC,8.0,1.0,11.0,51227,SOFT,False,0 days 00:01:24.603000
3,RIC,9.0,1.0,12.0,55884,SOFT,False,0 days 00:01:24.482000
3,RIC,10.0,1.0,13.0,60541,SOFT,False,0 days 00:01:23.872000
3,RIC,11.0,1.0,14.0,65198,SOFT,False,0 days 00:01:24.364000
3,RIC,12.0,1.0,15.0,69855,SOFT,False,0 days 00:01:24.221000
3,RIC,13.0,1.0,16.0,74512,SOFT,False,0 days 00:01:23.961000
3,RIC,14.0,1.0,17.0,79169,SOFT,False,0 days 00:01:24.637000
3,RIC,15.0,1.0,18.0,83826,SOFT,False,0 days 00:01:24.624000
3,RIC,16.0,1.0,19.0,88483,SOFT,False,0 days 00:01:24.370000
3,RIC,17.0,1.0,20.0,93140,SOFT,False,0 days 00:01:24.636000
3,RIC,18.0,1.0,21.0,97797,SOFT,False,0 days 00:01:24.228000
3,RIC,19.0,1.0,22.0,102454,SOFT,False,0 days 00:01:24.576000
3,RIC,20.0,1.0,23.0,107111,SOFT,False,0 days 00:01:24.643000
3,RIC,21.0,1.0,24.0,111768,SOFT,False,0 days 00:01:24.031000
3,RIC,22.0,1.0,25.0,116425,SOFT,False,0 days 00:01:24.047000
3,RIC,23.0,1.0,26.0,121082,SOFT,False,0 days 00:01:25.135000
3,RIC,24.0,1.0,27.0,125739,SOFT,False,0 days 00:01:26.875000
3,RIC,25.0,2.0,1.0,4657,HARD,True,0 days 00:01:43.527000
3,RIC,26.0,2.0,2.0,9314,HARD,True,0 days 00:01:24.161000
3,RIC,27.0,2.0,3.0,13971,HARD,True,0 days 00:01:23.458000
3,RIC,28.0,2.0,4.0,18628,HARD,True,0 days 00:01:23.763000
3,RIC,29.0,2.0,5.0,23285,HARD,True,0 days 00:01:23.377000
3,RIC,30.0,2.0,6.0,27942,HARD,True,0 days 00:01:23.646000
3,RIC,31.0,2.0,7.0,32599,HARD,True,0 days 00:01:23.566000
3,RIC,32.0,2.0,8.0,37256,HARD,True,0 days 00:01:23.641000
3,RIC,33.0,2.0,9.0,41913,HARD,True,0 days 00:01:23.870000
3,RIC,34.0,2.0,10.0,46570,HARD,True,0 days 00:01:23.356000
3,RIC,35.0,2.0,11.0,51227,HARD,True,0 days 00:01:23.026000
3,RIC,36.0,2.0,12.0,55884,HARD,True,0 days 00:01:23.201000
3,RIC,37.0,2.0,13.0,60541,HARD,True,0 days 00:01:23.009000
3,RIC,38.0,2.0,14.0,65198,HARD,True,0 days 00:01:23.304000
3,RIC,39.0,2.0,15.0,69855,HARD,True,0 days 00:01:23.191000
3,RIC,40.0,2.0,16.0,74512,HARD,True,0 days 00:01:24.987000
3,RIC,41.0,2.0,17.0,79169,HARD,True,0 days 00:01:23.201000
3,RIC,42.0,2.0,18.0,83826,HARD,True,0 days 00:01:22.929000
3,RIC,43.0,2.0,19.0,88483,HARD,True,0 days 00:01:22.978000
3,RIC,44.0,2.0,20.0,93140,HARD,True,0 days 00:01:23.123000
3,RIC,45.0,2.0,21.0,97797,HARD,True,0 days 00:01:42.169000
3,RIC,46.0,3.0,1.0,4657,MEDIUM,True,0 days 00:02:23.460000
3,RIC,47.0,3.0,2.0,9314,MEDIUM,True,0 days 00:02:11.374000
3,RIC,48.0,3.0,3.0,13971,MEDIUM,True,0 days 00:02:12.943000
3,RIC,49.0,3.0,4.0,18628,MEDIUM,True,0 days 00:01:50.345000
3,RIC,50.0,3.0,5.0,23285,MEDIUM,True,0 days 00:01:24.978000
3,RIC,51.0,3.0,6.0,27942,MEDIUM,True,0 days 00:01:24.611000
3,RIC,52.0,3.0,7.0,32599,MEDIUM,True,0 days 00:01:55.775000
3,RIC,53.0,3.0,8.0,37256,MEDIUM,True,0 days 00:01:25.555000
3,RIC,54.0,3.0,9.0,41913,MEDIUM,True,0 days 00:01:23.149000
3,RIC,55.0,3.0,10.0,46570,MEDIUM,True,0 days 00:01:22.129000
3,RIC,56.0,3.0,11.0,51227,MEDIUM,True,0 days 00:01:20.615000
3,RIC,57.0,3.0,12.0,55884,MEDIUM,True,0 days 00:01:21.834000
3,RIC,58.0,3.0,13.0,60541,MEDIUM,True,0 days 00:01:22.645000
3,RIC,59.0,3.0,14.0,65198,MEDIUM,True,0 days 00:01:21.908000
3,RIC,60.0,3.0,15.0,69855,MEDIUM,True,0 days 00:01:21.556000
3,RIC,61.0,3.0,16.0,74512,MEDIUM,True,0 days 00:01:21.995000
3,RIC,62.0,3.0,17.0,79169,MEDIUM,True,0 days 00:01:21.848000
3,RIC,63.0,3.0,18.0,83826,MEDIUM,True,0 days 00:01:21.510000
3,RIC,64.0,3.0,19.0,88483,MEDIUM,True,0 days 00:01:21.392000
3,RIC,65.0,3.0,20.0,93140,MEDIUM,True,0 days 00:01:20.924000
3,RIC,66.0,3.0,21.0,97797,MEDIUM,True,0 days 00:01:21.472000
