Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
44,1.0,1.0,4.0,21124,ULTRASOFT,False,0 days 00:02:14.661000
44,2.0,1.0,5.0,26405,ULTRASOFT,False,
44,3.0,1.0,6.0,31686,ULTRASOFT,False,
44,4.0,1.0,7.0,36967,ULTRASOFT,False,
44,5.0,1.0,8.0,42248,ULTRASOFT,False,0 days 00:01:43.982000
44,6.0,1.0,9.0,47529,ULTRASOFT,False,0 days 00:01:44.686000
44,7.0,1.0,10.0,52810,ULTRASOFT,False,0 days 00:02:08.384000
44,8.0,2.0,1.0,5281,SUPERSOFT,True,0 days 00:02:27.462000
44,9.0,2.0,2.0,10562,SUPERSOFT,True,0 days 00:01:44.895000
44,10.0,2.0,3.0,15843,SUPERSOFT,True,0 days 00:01:45.144000
44,11.0,2.0,4.0,21124,SUPERSOFT,True,0 days 00:01:44.924000
44,12.0,2.0,5.0,26405,SUPERSOFT,True,0 days 00:01:45.192000
44,13.0,2.0,6.0,31686,SUPERSOFT,True,0 days 00:01:45.021000
44,14.0,2.0,7.0,36967,SUPERSOFT,True,0 days 00:01:44.767000
44,15.0,2.0,8.0,42248,SUPERSOFT,True,0 days 00:01:45.363000
44,16.0,2.0,9.0,47529,SUPERSOFT,True,0 days 00:01:44.884000
44,17.0,2.0,10.0,52810,SUPERSOFT,True,0 days 00:01:44.974000
44,18.0,2.0,11.0,58091,SUPERSOFT,True,0 days 00:01:45.155000
44,19.0,2.0,12.0,63372,SUPERSOFT,True,0 days 00:01:44.263000
44,20.0,2.0,13.0,68653,SUPERSOFT,True,0 days 00:01:43.988000
44,21.0,2.0,14.0,73934,SUPERSOFT,True,0 days 00:01:44.186000
44,22.0,2.0,15.0,79215,SUPERSOFT,True,0 days 00:01:44.119000
44,23.0,2.0,16.0,84496,SUPERSOFT,True,0 days 00:01:44.384000
44,24.0,2.0,17.0,89777,SUPERSOFT,True,0 days 00:01:44.524000
44,25.0,2.0,18.0,95058,SUPERSOFT,True,0 days 00:01:44.250000
44,26.0,2.0,19.0,100339,SUPERSOFT,True,0 days 00:01:44.437000
44,27.0,2.0,20.0,105620,SUPERSOFT,True,0 days 00:01:45.065000
44,28.0,2.0,21.0,110901,SUPERSOFT,True,0 days 00:01:44.006000
44,29.0,2.0,22.0,116182,SUPERSOFT,True,0 days 00:01:43.479000
44,30.0,2.0,23.0,121463,SUPERSOFT,True,0 days 00:01:43.245000
44,31.0,2.0,24.0,126744,SUPERSOFT,True,0 days 00:01:43.300000
44,32.0,2.0,25.0,132025,SUPERSOFT,True,0 days 00:01:43.460000
44,33.0,2.0,26.0,137306,SUPERSOFT,True,0 days 00:01:43.463000
44,34.0,2.0,27.0,142587,SUPERSOFT,True,0 days 00:01:43.183000
44,35.0,2.0,28.0,147868,SUPERSOFT,True,0 days 00:01:43.805000
44,36.0,2.0,29.0,153149,SUPERSOFT,True,0 days 00:01:43.199000
44,37.0,2.0,30.0,158430,SUPERSOFT,True,0 days 00:01:43.137000
44,38.0,2.0,31.0,163711,SUPERSOFT,True,0 days 00:01:43.597000
44,39.0,2.0,32.0,168992,SUPERSOFT,True,0 days 00:01:43.410000
44,40.0,2.0,33.0,174273,SUPERSOFT,True,0 days 00:01:42.976000
44,41.0,2.0,34.0,179554,SUPERSOFT,True,0 days 00:01:43.646000
44,42.0,2.0,35.0,184835,SUPERSOFT,True,0 days 00:01:42.870000
44,43.0,2.0,36.0,190116,SUPERSOFT,True,0 days 00:01:42.677000
44,44.0,2.0,37.0,195397,SUPERSOFT,True,0 days 00:01:43.129000
44,45.0,2.0,38.0,200678,SUPERSOFT,True,0 days 00:01:43.071000
44,46.0,2.0,39.0,205959,SUPERSOFT,True,0 days 00:01:42.388000
44,47.0,2.0,40.0,211240,SUPERSOFT,True,0 days 00:01:43.611000
44,48.0,2.0,41.0,216521,SUPERSOFT,True,0 days 00:01:42.785000
44,49.0,2.0,42.0,221802,SUPERSOFT,True,0 days 00:01:43.451000
44,50.0,2.0,43.0,227083,SUPERSOFT,True,0 days 00:01:42.093000
44,51.0,2.0,44.0,232364,SUPERSOFT,True,0 days 00:01:41.370000
44,52.0,2.0,45.0,237645,SUPERSOFT,True,0 days 00:01:41.896000
44,53.0,2.0,46.0,242926,SUPERSOFT,True,0 days 00:01:41.357000
44,54.0,2.0,47.0,248207,SUPERSOFT,True,0 days 00:01:41.786000
44,55.0,2.0,48.0,253488,SUPERSOFT,True,0 days 00:01:42.696000
