DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
44,HAM,1.0,1.0,4.0,17236,SUPERSOFT,False,4309,0 days 00:01:17.881000
44,HAM,2.0,1.0,5.0,21545,SUPERSOFT,False,8618,0 days 00:01:14.771000
44,HAM,3.0,1.0,6.0,25854,SUPERSOFT,False,12927,0 days 00:01:13.987000
44,HAM,4.0,1.0,7.0,30163,SUPERSOFT,False,17236,0 days 00:01:14.101000
44,HAM,5.0,1.0,8.0,34472,SUPERSOFT,False,21545,0 days 00:01:14.162000
44,HAM,6.0,1.0,9.0,38781,SUPERSOFT,False,25854,0 days 00:01:14.318000
44,HAM,7.0,1.0,10.0,43090,SUPERSOFT,False,30163,0 days 00:01:14.372000
44,HAM,8.0,1.0,11.0,47399,SUPERSOFT,False,34472,0 days 00:01:14.517000
44,HAM,9.0,1.0,12.0,51708,SUPERSOFT,False,38781,0 days 00:01:14.799000
44,HAM,10.0,1.0,13.0,56017,SUPERSOFT,False,43090,0 days 00:01:14.378000
44,HAM,11.0,1.0,14.0,60326,SUPERSOFT,False,47399,0 days 00:01:14.404000
44,HAM,12.0,1.0,15.0,64635,SUPERSOFT,False,51708,0 days 00:01:14.299000
44,HAM,13.0,1.0,16.0,68944,SUPERSOFT,False,56017,0 days 00:01:13.992000
44,HAM,14.0,1.0,17.0,73253,SUPERSOFT,False,60326,0 days 00:01:14.223000
44,HAM,15.0,1.0,18.0,77562,SUPERSOFT,False,64635,0 days 00:01:13.943000
44,HAM,16.0,1.0,19.0,81871,SUPERSOFT,False,68944,0 days 00:01:13.786000
44,HAM,17.0,1.0,20.0,86180,SUPERSOFT,False,73253,0 days 00:01:14.084000
44,HAM,18.0,1.0,21.0,90489,SUPERSOFT,False,77562,0 days 00:01:13.793000
44,HAM,19.0,1.0,22.0,94798,SUPERSOFT,False,81871,0 days 00:01:17.295000
44,HAM,20.0,2.0,1.0,4309,MEDIUM,True,86180,0 days 00:01:29.165000
44,HAM,21.0,2.0,2.0,8618,MEDIUM,True,90489,0 days 00:01:13.025000
44,HAM,22.0,2.0,3.0,12927,MEDIUM,True,94798,0 days 00:01:13.874000
44,HAM,23.0,2.0,4.0,17236,MEDIUM,True,99107,0 days 00:01:13.393000
44,HAM,24.0,2.0,5.0,21545,MEDIUM,True,103416,0 days 00:01:14.539000
44,HAM,25.0,2.0,6.0,25854,MEDIUM,True,107725,0 days 00:01:14.569000
44,HAM,26.0,2.0,7.0,30163,MEDIUM,True,112034,0 days 00:01:14.944000
44,HAM,27.0,2.0,8.0,34472,MEDIUM,True,116343,0 days 00:01:14.425000
44,HAM,28.0,2.0,9.0,38781,MEDIUM,True,120652,0 days 00:01:12.930000
44,HAM,29.0,2.0,10.0,43090,MEDIUM,True,124961,0 days 00:01:13.923000
44,HAM,30.0,2.0,11.0,47399,MEDIUM,True,129270,0 days 00:01:13.490000
44,HAM,31.0,2.0,12.0,51708,MEDIUM,True,133579,0 days 00:01:13.484000
44,HAM,32.0,2.0,13.0,56017,MEDIUM,True,137888,0 days 00:01:13.707000
44,HAM,33.0,2.0,14.0,60326,MEDIUM,True,142197,0 days 00:01:13.524000
44,HAM,34.0,2.0,15.0,64635,MEDIUM,True,146506,0 days 00:01:13.645000
44,HAM,35.0,2.0,16.0,68944,MEDIUM,True,150815,0 days 00:01:13.750000
44,HAM,36.0,2.0,17.0,73253,MEDIUM,True,155124,0 days 00:01:13.120000
44,HAM,37.0,2.0,18.0,77562,MEDIUM,True,159433,0 days 00:01:13.419000
44,HAM,38.0,2.0,19.0,81871,MEDIUM,True,163742,0 days 00:01:13.018000
44,HAM,39.0,2.0,20.0,86180,MEDIUM,True,168051,0 days 00:01:13.593000
44,HAM,40.0,2.0,21.0,90489,MEDIUM,True,172360,0 days 00:01:14.166000
44,HAM,41.0,2.0,22.0,94798,MEDIUM,True,176669,0 days 00:01:13.774000
44,HAM,42.0,2.0,23.0,99107,MEDIUM,True,180978,0 days 00:01:13.774000
44,HAM,43.0,2.0,24.0,103416,MEDIUM,True,185287,0 days 00:01:13.451000
44,HAM,44.0,2.0,25.0,107725,MEDIUM,True,189596,0 days 00:01:13.292000
44,HAM,45.0,2.0,26.0,112034,MEDIUM,True,193905,0 days 00:01:13.076000
44,HAM,46.0,2.0,27.0,116343,MEDIUM,True,198214,0 days 00:01:12.925000
44,HAM,47.0,2.0,28.0,120652,MEDIUM,True,202523,0 days 00:01:12.967000
44,HAM,48.0,2.0,29.0,124961,MEDIUM,True,206832,0 days 00:01:12.808000
44,HAM,49.0,2.0,30.0,129270,MEDIUM,True,211141,0 days 00:01:13.018000
44,HAM,50.0,2.0,31.0,133579,MEDIUM,True,215450,0 days 00:01:12.920000
44,HAM,51.0,2.0,32.0,137888,MEDIUM,True,219759,0 days 00:01:12.319000
44,HAM,52.0,2.0,33.0,142197,MEDIUM,True,224068,0 days 00:01:12.385000
44,HAM,53.0,2.0,34.0,146506,MEDIUM,True,228377,0 days 00:01:12.466000
44,HAM,54.0,2.0,35.0,150815,MEDIUM,True,232686,0 days 00:01:12.204000
44,HAM,55.0,2.0,36.0,155124,MEDIUM,True,236995,0 days 00:01:12.062000
44,HAM,56.0,2.0,37.0,159433,MEDIUM,True,241304,0 days 00:01:12.483000
44,HAM,57.0,2.0,38.0,163742,MEDIUM,True,245613,0 days 00:01:12.200000
44,HAM,58.0,2.0,39.0,168051,MEDIUM,True,249922,0 days 00:01:12.038000
44,HAM,59.0,2.0,40.0,172360,MEDIUM,True,254231,0 days 00:01:12.092000
44,HAM,60.0,2.0,41.0,176669,MEDIUM,True,258540,0 days 00:01:11.910000
