DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
4,NOR,1.0,1.0,1.0,7004,SOFT,True,0 days 00:02:25.499000
4,NOR,2.0,1.0,2.0,14008,SOFT,True,
4,NOR,3.0,1.0,3.0,21012,SOFT,True,
4,NOR,4.0,1.0,4.0,28016,SOFT,True,
4,NOR,5.0,1.0,5.0,35020,SOFT,True,0 days 00:01:52.573000
4,NOR,6.0,1.0,6.0,42024,SOFT,True,0 days 00:01:51.512000
4,NOR,7.0,1.0,7.0,49028,SOFT,True,0 days 00:01:51.359000
4,NOR,8.0,1.0,8.0,56032,SOFT,True,0 days 00:01:51.347000
4,NOR,9.0,1.0,9.0,63036,SOFT,True,0 days 00:01:51.133000
4,NOR,10.0,1.0,10.0,70040,SOFT,True,0 days 00:01:50.700000
4,NOR,11.0,1.0,11.0,77044,SOFT,True,0 days 00:01:50.646000
4,NOR,12.0,1.0,12.0,84048,SOFT,True,0 days 00:01:50.536000
4,NOR,13.0,1.0,13.0,91052,SOFT,True,0 days 00:01:50.203000
4,NOR,14.0,1.0,14.0,98056,SOFT,True,0 days 00:01:49.979000
4,NOR,15.0,1.0,15.0,105060,SOFT,True,0 days 00:01:50.120000
4,NOR,16.0,1.0,16.0,112064,SOFT,True,0 days 00:01:50.272000
4,NOR,17.0,1.0,17.0,119068,SOFT,True,0 days 00:01:51.343000
4,NOR,18.0,1.0,18.0,126072,SOFT,True,0 days 00:01:50.568000
4,NOR,19.0,1.0,19.0,133076,SOFT,True,0 days 00:01:54.592000
4,NOR,20.0,2.0,1.0,7004,MEDIUM,True,0 days 00:02:03.752000
4,NOR,21.0,2.0,2.0,14008,MEDIUM,True,0 days 00:01:48.321000
4,NOR,22.0,2.0,3.0,21012,MEDIUM,True,0 days 00:01:49.030000
4,NOR,23.0,2.0,4.0,28016,MEDIUM,True,0 days 00:01:48.956000
4,NOR,24.0,2.0,5.0,35020,MEDIUM,True,0 days 00:01:49.243000
4,NOR,25.0,2.0,6.0,42024,MEDIUM,True,0 days 00:01:49.177000
4,NOR,26.0,2.0,7.0,49028,MEDIUM,True,0 days 00:01:49.053000
4,NOR,27.0,2.0,8.0,56032,MEDIUM,True,0 days 00:01:48.743000
4,NOR,28.0,2.0,9.0,63036,MEDIUM,True,0 days 00:01:49.156000
4,NOR,29.0,2.0,10.0,70040,MEDIUM,True,0 days 00:01:48.997000
4,NOR,30.0,2.0,11.0,77044,MEDIUM,True,0 days 00:01:49.531000
4,NOR,31.0,2.0,12.0,84048,MEDIUM,True,0 days 00:01:49.099000
4,NOR,32.0,2.0,13.0,91052,MEDIUM,True,0 days 00:01:49.129000
4,NOR,33.0,2.0,14.0,98056,MEDIUM,True,0 days 00:01:49.380000
4,NOR,34.0,2.0,15.0,105060,MEDIUM,True,0 days 00:01:49.216000
4,NOR,35.0,2.0,16.0,112064,MEDIUM,True,0 days 00:01:48.918000
4,NOR,36.0,2.0,17.0,119068,MEDIUM,True,0 days 00:01:49.431000
4,NOR,37.0,2.0,18.0,126072,MEDIUM,True,0 days 00:01:49.462000
4,NOR,38.0,2.0,19.0,133076,MEDIUM,True,0 days 00:01:49.459000
4,NOR,39.0,2.0,20.0,140080,MEDIUM,True,0 days 00:01:49.348000
4,NOR,40.0,2.0,21.0,147084,MEDIUM,True,0 days 00:01:49.808000
4,NOR,41.0,2.0,22.0,154088,MEDIUM,True,0 days 00:01:49.352000
4,NOR,42.0,2.0,23.0,161092,MEDIUM,True,0 days 00:01:49.161000
4,NOR,43.0,2.0,24.0,168096,MEDIUM,True,0 days 00:01:53.274000
4,NOR,44.0,2.0,25.0,175100,MEDIUM,True,
