Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
55,1.0,,,0,nan,True,0 days 00:01:40.565000
55,2.0,1.0,4.0,21112,ULTRASOFT,False,0 days 00:01:31.322000
55,3.0,1.0,5.0,26390,ULTRASOFT,False,0 days 00:01:31.267000
55,4.0,1.0,6.0,31668,ULTRASOFT,False,0 days 00:01:30.672000
55,5.0,1.0,7.0,36946,ULTRASOFT,False,0 days 00:01:31.834000
55,6.0,1.0,8.0,42224,ULTRASOFT,False,0 days 00:01:31.816000
55,7.0,1.0,9.0,47502,ULTRASOFT,False,0 days 00:01:30.680000
55,8.0,1.0,10.0,52780,ULTRASOFT,False,0 days 00:01:30.596000
55,9.0,1.0,11.0,58058,ULTRASOFT,False,0 days 00:01:30.239000
55,10.0,1.0,12.0,63336,ULTRASOFT,False,0 days 00:01:32.039000
55,11.0,1.0,13.0,68614,ULTRASOFT,False,0 days 00:01:30.365000
55,12.0,1.0,14.0,73892,ULTRASOFT,False,0 days 00:01:30.344000
55,13.0,1.0,15.0,79170,ULTRASOFT,False,0 days 00:01:30.078000
55,14.0,1.0,16.0,84448,ULTRASOFT,False,0 days 00:01:30.309000
55,15.0,1.0,17.0,89726,ULTRASOFT,False,0 days 00:01:30.315000
55,16.0,1.0,18.0,95004,ULTRASOFT,False,0 days 00:01:30.164000
55,17.0,1.0,19.0,100282,ULTRASOFT,False,0 days 00:01:30.143000
55,18.0,1.0,20.0,105560,ULTRASOFT,False,0 days 00:01:30.023000
55,19.0,1.0,21.0,110838,ULTRASOFT,False,0 days 00:01:30.127000
55,20.0,1.0,22.0,116116,ULTRASOFT,False,0 days 00:01:29.739000
55,21.0,1.0,23.0,121394,ULTRASOFT,False,0 days 00:01:30.165000
55,22.0,1.0,24.0,126672,ULTRASOFT,False,0 days 00:01:55.942000
55,23.0,2.0,1.0,5278,SOFT,True,0 days 00:01:34.136000
55,24.0,2.0,2.0,10556,SOFT,True,0 days 00:01:28.586000
55,25.0,2.0,3.0,15834,SOFT,True,0 days 00:01:42.007000
55,26.0,2.0,4.0,21112,SOFT,True,0 days 00:02:03.195000
55,27.0,2.0,5.0,26390,SOFT,True,0 days 00:02:04.940000
55,28.0,2.0,6.0,31668,SOFT,True,0 days 00:02:05.043000
55,29.0,2.0,7.0,36946,SOFT,True,0 days 00:01:37.413000
55,30.0,2.0,8.0,42224,SOFT,True,0 days 00:01:55.171000
55,31.0,2.0,9.0,47502,SOFT,True,0 days 00:02:06.289000
55,32.0,2.0,10.0,52780,SOFT,True,0 days 00:01:31.990000
55,33.0,2.0,11.0,58058,SOFT,True,0 days 00:01:30.151000
55,34.0,2.0,12.0,63336,SOFT,True,0 days 00:01:29.662000
55,35.0,2.0,13.0,68614,SOFT,True,0 days 00:01:29.327000
55,36.0,2.0,14.0,73892,SOFT,True,0 days 00:01:28.688000
55,37.0,2.0,15.0,79170,SOFT,True,0 days 00:01:28.786000
55,38.0,2.0,16.0,84448,SOFT,True,0 days 00:01:28.867000
55,39.0,2.0,17.0,89726,SOFT,True,0 days 00:01:28.443000
55,40.0,2.0,18.0,95004,SOFT,True,0 days 00:01:28.503000
55,41.0,2.0,19.0,100282,SOFT,True,0 days 00:01:28.261000
55,42.0,2.0,20.0,105560,SOFT,True,0 days 00:01:28.306000
55,43.0,2.0,21.0,110838,SOFT,True,0 days 00:01:28.523000
55,44.0,2.0,22.0,116116,SOFT,True,0 days 00:01:28.303000
55,45.0,2.0,23.0,121394,SOFT,True,0 days 00:01:28.143000
55,46.0,2.0,24.0,126672,SOFT,True,0 days 00:01:28.493000
55,47.0,2.0,25.0,131950,SOFT,True,0 days 00:01:28.133000
55,48.0,2.0,26.0,137228,SOFT,True,0 days 00:01:28.193000
55,49.0,2.0,27.0,142506,SOFT,True,0 days 00:01:28.302000
55,50.0,2.0,28.0,147784,SOFT,True,0 days 00:01:28.027000
55,51.0,2.0,29.0,153062,SOFT,True,0 days 00:01:27.944000
55,52.0,2.0,30.0,158340,SOFT,True,0 days 00:01:28.441000
55,53.0,2.0,31.0,163618,SOFT,True,0 days 00:01:28.497000
55,54.0,2.0,32.0,168896,SOFT,True,0 days 00:01:28.164000
55,55.0,2.0,33.0,174174,SOFT,True,0 days 00:01:28.303000
55,56.0,2.0,34.0,179452,SOFT,True,0 days 00:01:28.104000
55,57.0,2.0,35.0,184730,SOFT,True,0 days 00:01:27.996000
55,58.0,2.0,36.0,190008,SOFT,True,0 days 00:01:28.931000
