Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
55,1.0,1.0,1.0,4574,WET,True,0 days 00:01:52.114000
55,2.0,1.0,2.0,9148,WET,True,0 days 00:01:46.637000
55,3.0,1.0,3.0,13722,WET,True,0 days 00:01:59.561000
55,4.0,2.0,1.0,4574,INTERMEDIATE,True,0 days 00:02:14.131000
55,5.0,2.0,2.0,9148,INTERMEDIATE,True,0 days 00:01:38.957000
55,6.0,2.0,3.0,13722,INTERMEDIATE,True,0 days 00:01:35.640000
55,7.0,2.0,4.0,18296,INTERMEDIATE,True,0 days 00:01:35.035000
55,8.0,2.0,5.0,22870,INTERMEDIATE,True,0 days 00:01:33.581000
55,9.0,2.0,6.0,27444,INTERMEDIATE,True,0 days 00:01:31.816000
55,10.0,2.0,7.0,32018,INTERMEDIATE,True,0 days 00:01:32.027000
55,11.0,2.0,8.0,36592,INTERMEDIATE,True,0 days 00:01:31.457000
55,12.0,2.0,9.0,41166,INTERMEDIATE,True,0 days 00:01:31.226000
55,13.0,2.0,10.0,45740,INTERMEDIATE,True,0 days 00:01:31.453000
55,14.0,2.0,11.0,50314,INTERMEDIATE,True,0 days 00:01:32.054000
55,15.0,2.0,12.0,54888,INTERMEDIATE,True,0 days 00:01:53.089000
55,16.0,2.0,13.0,59462,INTERMEDIATE,True,0 days 00:01:31.742000
55,17.0,2.0,14.0,64036,INTERMEDIATE,True,0 days 00:01:31.774000
55,18.0,2.0,15.0,68610,INTERMEDIATE,True,0 days 00:01:58.644000
55,19.0,2.0,16.0,73184,INTERMEDIATE,True,0 days 00:01:32.153000
55,20.0,2.0,17.0,77758,INTERMEDIATE,True,0 days 00:01:32.928000
55,21.0,2.0,18.0,82332,INTERMEDIATE,True,0 days 00:01:33.602000
55,22.0,2.0,19.0,86906,INTERMEDIATE,True,0 days 00:01:33.237000
55,23.0,2.0,20.0,91480,INTERMEDIATE,True,0 days 00:01:34.166000
55,24.0,2.0,21.0,96054,INTERMEDIATE,True,0 days 00:01:34.101000
55,25.0,2.0,22.0,100628,INTERMEDIATE,True,0 days 00:01:35.027000
55,26.0,2.0,23.0,105202,INTERMEDIATE,True,0 days 00:01:34.430000
55,27.0,2.0,24.0,109776,INTERMEDIATE,True,0 days 00:01:56.592000
55,28.0,3.0,1.0,4574,INTERMEDIATE,True,0 days 00:01:59.192000
55,29.0,3.0,2.0,9148,INTERMEDIATE,True,0 days 00:01:59.140000
55,30.0,3.0,3.0,13722,INTERMEDIATE,True,0 days 00:01:47.436000
55,31.0,3.0,4.0,18296,INTERMEDIATE,True,0 days 00:01:47.783000
55,32.0,3.0,5.0,22870,INTERMEDIATE,True,0 days 00:02:14.898000
55,33.0,3.0,6.0,27444,INTERMEDIATE,True,0 days 00:02:13.520000
55,34.0,3.0,7.0,32018,INTERMEDIATE,True,0 days 00:01:35.079000
55,35.0,3.0,8.0,36592,INTERMEDIATE,True,0 days 00:01:31.267000
55,36.0,3.0,9.0,41166,INTERMEDIATE,True,0 days 00:01:30.775000
55,37.0,3.0,10.0,45740,INTERMEDIATE,True,0 days 00:01:30.809000
55,38.0,3.0,11.0,50314,INTERMEDIATE,True,0 days 00:01:29.760000
55,39.0,3.0,12.0,54888,INTERMEDIATE,True,0 days 00:01:30.217000
55,40.0,3.0,13.0,59462,INTERMEDIATE,True,0 days 00:01:30.533000
55,41.0,3.0,14.0,64036,INTERMEDIATE,True,0 days 00:01:53.458000
55,42.0,3.0,15.0,68610,INTERMEDIATE,True,0 days 00:02:00.893000
55,43.0,3.0,16.0,73184,INTERMEDIATE,True,0 days 00:01:55.192000
55,44.0,3.0,17.0,77758,INTERMEDIATE,True,0 days 00:01:58.225000
55,45.0,3.0,18.0,82332,INTERMEDIATE,True,0 days 00:02:01.071000
55,46.0,3.0,19.0,86906,INTERMEDIATE,True,0 days 00:01:31.802000
55,47.0,4.0,4.0,18296,SOFT,False,0 days 00:01:40.413000
55,48.0,4.0,5.0,22870,SOFT,False,0 days 00:01:20.571000
55,49.0,4.0,6.0,27444,SOFT,False,0 days 00:01:19.733000
55,50.0,4.0,7.0,32018,SOFT,False,0 days 00:01:18.985000
55,51.0,4.0,8.0,36592,SOFT,False,0 days 00:01:18.599000
55,52.0,4.0,9.0,41166,SOFT,False,0 days 00:01:18.995000
55,53.0,4.0,10.0,45740,SOFT,False,0 days 00:01:18.843000
55,54.0,4.0,11.0,50314,SOFT,False,0 days 00:01:18.342000
55,55.0,4.0,12.0,54888,SOFT,False,0 days 00:01:18.485000
55,56.0,4.0,13.0,59462,SOFT,False,0 days 00:01:19.044000
55,57.0,4.0,14.0,64036,SOFT,False,0 days 00:01:47.886000
55,58.0,4.0,15.0,68610,SOFT,False,0 days 00:01:59.746000
55,59.0,4.0,16.0,73184,SOFT,False,0 days 00:02:00.631000
55,60.0,4.0,17.0,77758,SOFT,False,0 days 00:01:19.240000
55,61.0,4.0,18.0,82332,SOFT,False,0 days 00:01:18.205000
55,62.0,4.0,19.0,86906,SOFT,False,0 days 00:01:17.949000
55,63.0,4.0,20.0,91480,SOFT,False,0 days 00:01:17.841000
55,64.0,4.0,21.0,96054,SOFT,False,0 days 00:01:19.126000
