Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
55,1.0,,,0,nan,True,0 days 00:01:33.321000
55,2.0,1.0,1.0,4381,SOFT,True,0 days 00:01:26.480000
55,3.0,1.0,2.0,8762,SOFT,True,0 days 00:01:26.336000
55,4.0,1.0,3.0,13143,SOFT,True,0 days 00:01:25.863000
55,5.0,1.0,4.0,17524,SOFT,True,0 days 00:01:25.753000
55,6.0,1.0,5.0,21905,SOFT,True,0 days 00:01:34.839000
55,7.0,1.0,6.0,26286,SOFT,True,0 days 00:01:31.103000
55,8.0,1.0,7.0,30667,SOFT,True,0 days 00:01:25.271000
55,9.0,1.0,8.0,35048,SOFT,True,0 days 00:01:25.270000
55,10.0,1.0,9.0,39429,SOFT,True,0 days 00:01:25.218000
55,11.0,1.0,10.0,43810,SOFT,True,0 days 00:01:25.405000
55,12.0,1.0,11.0,48191,SOFT,True,0 days 00:01:25.260000
55,13.0,1.0,12.0,52572,SOFT,True,0 days 00:01:24.661000
55,14.0,1.0,13.0,56953,SOFT,True,0 days 00:01:24.410000
55,15.0,1.0,14.0,61334,SOFT,True,0 days 00:01:25.094000
55,16.0,1.0,15.0,65715,SOFT,True,0 days 00:01:26.454000
55,17.0,1.0,16.0,70096,SOFT,True,0 days 00:01:24.730000
55,18.0,1.0,17.0,74477,SOFT,True,0 days 00:01:24.461000
55,19.0,1.0,18.0,78858,SOFT,True,0 days 00:01:24.520000
55,20.0,1.0,19.0,83239,SOFT,True,0 days 00:01:24.410000
55,21.0,1.0,20.0,87620,SOFT,True,0 days 00:01:24.240000
55,22.0,1.0,21.0,92001,SOFT,True,0 days 00:01:24.066000
55,23.0,1.0,22.0,96382,SOFT,True,0 days 00:01:24.323000
55,24.0,1.0,23.0,100763,SOFT,True,0 days 00:01:24.108000
55,25.0,1.0,24.0,105144,SOFT,True,0 days 00:01:26.626000
55,26.0,2.0,1.0,4381,MEDIUM,True,0 days 00:01:42.309000
55,27.0,2.0,2.0,8762,MEDIUM,True,0 days 00:01:23.853000
55,28.0,2.0,3.0,13143,MEDIUM,True,0 days 00:01:24.150000
55,29.0,2.0,4.0,17524,MEDIUM,True,0 days 00:01:24.196000
55,30.0,2.0,5.0,21905,MEDIUM,True,0 days 00:01:24.414000
55,31.0,2.0,6.0,26286,MEDIUM,True,0 days 00:01:24.284000
55,32.0,2.0,7.0,30667,MEDIUM,True,0 days 00:01:24.471000
55,33.0,2.0,8.0,35048,MEDIUM,True,0 days 00:01:24.851000
55,34.0,2.0,9.0,39429,MEDIUM,True,0 days 00:01:24.487000
55,35.0,2.0,10.0,43810,MEDIUM,True,0 days 00:01:26.548000
55,36.0,2.0,11.0,48191,MEDIUM,True,0 days 00:01:24.300000
55,37.0,2.0,12.0,52572,MEDIUM,True,0 days 00:01:24.699000
55,38.0,2.0,13.0,56953,MEDIUM,True,0 days 00:01:25.230000
55,39.0,2.0,14.0,61334,MEDIUM,True,0 days 00:01:26.221000
55,40.0,2.0,15.0,65715,MEDIUM,True,0 days 00:01:23.232000
55,41.0,2.0,16.0,70096,MEDIUM,True,0 days 00:01:26.114000
55,42.0,2.0,17.0,74477,MEDIUM,True,0 days 00:01:23.866000
55,43.0,2.0,18.0,78858,MEDIUM,True,0 days 00:01:23.797000
55,44.0,2.0,19.0,83239,MEDIUM,True,0 days 00:01:24.092000
55,45.0,2.0,20.0,87620,MEDIUM,True,0 days 00:01:26.287000
55,46.0,2.0,21.0,92001,MEDIUM,True,0 days 00:01:25.356000
55,47.0,2.0,22.0,96382,MEDIUM,True,0 days 00:01:23.656000
55,48.0,2.0,23.0,100763,MEDIUM,True,0 days 00:01:23.669000
55,49.0,2.0,24.0,105144,MEDIUM,True,0 days 00:01:23.465000
55,50.0,2.0,25.0,109525,MEDIUM,True,0 days 00:01:41.746000
55,51.0,2.0,26.0,113906,MEDIUM,True,0 days 00:01:26.874000
55,52.0,2.0,27.0,118287,MEDIUM,True,0 days 00:01:24.906000
55,53.0,2.0,28.0,122668,MEDIUM,True,0 days 00:01:23.283000
55,54.0,2.0,29.0,127049,MEDIUM,True,0 days 00:01:23.070000
55,55.0,2.0,30.0,131430,MEDIUM,True,0 days 00:01:22.992000
55,56.0,2.0,31.0,135811,MEDIUM,True,0 days 00:01:23.052000
55,57.0,2.0,32.0,140192,MEDIUM,True,0 days 00:01:23.020000
55,58.0,2.0,33.0,144573,MEDIUM,True,0 days 00:01:22.774000
55,59.0,2.0,34.0,148954,MEDIUM,True,0 days 00:01:22.986000
55,60.0,2.0,35.0,153335,MEDIUM,True,0 days 00:01:25.388000
55,61.0,2.0,36.0,157716,MEDIUM,True,0 days 00:01:23.050000
55,62.0,2.0,37.0,162097,MEDIUM,True,0 days 00:01:22.817000
55,63.0,2.0,38.0,166478,MEDIUM,True,0 days 00:01:23.178000
55,64.0,2.0,39.0,170859,MEDIUM,True,0 days 00:01:23.276000
55,65.0,2.0,40.0,175240,MEDIUM,True,0 days 00:01:23.028000
55,66.0,2.0,41.0,179621,MEDIUM,True,0 days 00:01:23.245000
55,67.0,2.0,42.0,184002,MEDIUM,True,0 days 00:01:23.955000
55,68.0,2.0,43.0,188383,MEDIUM,True,0 days 00:01:23.860000
55,69.0,2.0,44.0,192764,MEDIUM,True,0 days 00:01:24.255000
