Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
55,1.0,,,0,nan,True,0 days 00:01:57.373000
55,2.0,1.0,5.0,23285,SOFT,False,
55,3.0,1.0,6.0,27942,SOFT,False,0 days 00:02:13.005000
55,4.0,1.0,7.0,32599,SOFT,False,0 days 00:02:09.088000
55,5.0,1.0,8.0,37256,SOFT,False,0 days 00:02:09.964000
55,6.0,1.0,9.0,41913,SOFT,False,0 days 00:02:08.825000
55,7.0,1.0,10.0,46570,SOFT,False,0 days 00:01:27.436000
55,8.0,1.0,11.0,51227,SOFT,False,0 days 00:01:25.558000
55,9.0,1.0,12.0,55884,SOFT,False,0 days 00:01:24.454000
55,10.0,1.0,13.0,60541,SOFT,False,0 days 00:01:24.117000
55,11.0,1.0,14.0,65198,SOFT,False,0 days 00:01:23.756000
55,12.0,1.0,15.0,69855,SOFT,False,0 days 00:01:23.885000
55,13.0,1.0,16.0,74512,SOFT,False,0 days 00:01:23.631000
55,14.0,1.0,17.0,79169,SOFT,False,0 days 00:01:23.876000
55,15.0,1.0,18.0,83826,SOFT,False,0 days 00:01:23.519000
55,16.0,1.0,19.0,88483,SOFT,False,0 days 00:01:23.464000
55,17.0,1.0,20.0,93140,SOFT,False,0 days 00:01:23.520000
55,18.0,1.0,21.0,97797,SOFT,False,0 days 00:01:23.795000
55,19.0,1.0,22.0,102454,SOFT,False,0 days 00:01:23.699000
55,20.0,1.0,23.0,107111,SOFT,False,0 days 00:01:23.757000
55,21.0,1.0,24.0,111768,SOFT,False,0 days 00:01:23.798000
55,22.0,1.0,25.0,116425,SOFT,False,0 days 00:01:23.708000
55,23.0,1.0,26.0,121082,SOFT,False,0 days 00:01:23.629000
55,24.0,1.0,27.0,125739,SOFT,False,0 days 00:01:23.814000
55,25.0,1.0,28.0,130396,SOFT,False,0 days 00:01:27.618000
55,26.0,2.0,1.0,4657,MEDIUM,True,0 days 00:01:41.990000
55,27.0,2.0,2.0,9314,MEDIUM,True,0 days 00:01:23.133000
55,28.0,2.0,3.0,13971,MEDIUM,True,0 days 00:01:24.557000
55,29.0,2.0,4.0,18628,MEDIUM,True,0 days 00:01:24.037000
55,30.0,2.0,5.0,23285,MEDIUM,True,0 days 00:01:23.110000
55,31.0,2.0,6.0,27942,MEDIUM,True,0 days 00:01:24.076000
55,32.0,2.0,7.0,32599,MEDIUM,True,0 days 00:01:22.926000
55,33.0,2.0,8.0,37256,MEDIUM,True,0 days 00:01:22.837000
55,34.0,2.0,9.0,41913,MEDIUM,True,0 days 00:01:23.982000
55,35.0,2.0,10.0,46570,MEDIUM,True,0 days 00:01:23.071000
55,36.0,2.0,11.0,51227,MEDIUM,True,0 days 00:01:22.186000
55,37.0,2.0,12.0,55884,MEDIUM,True,0 days 00:01:22.216000
55,38.0,2.0,13.0,60541,MEDIUM,True,0 days 00:01:24.319000
55,39.0,2.0,14.0,65198,MEDIUM,True,0 days 00:01:22.182000
55,40.0,2.0,15.0,69855,MEDIUM,True,0 days 00:01:51.485000
55,41.0,2.0,16.0,74512,MEDIUM,True,0 days 00:02:01.759000
55,42.0,2.0,17.0,79169,MEDIUM,True,0 days 00:01:24.820000
55,43.0,2.0,18.0,83826,MEDIUM,True,0 days 00:01:21.940000
55,44.0,2.0,19.0,88483,MEDIUM,True,0 days 00:01:21.606000
55,45.0,2.0,20.0,93140,MEDIUM,True,0 days 00:01:22.062000
55,46.0,2.0,21.0,97797,MEDIUM,True,0 days 00:01:21.848000
55,47.0,2.0,22.0,102454,MEDIUM,True,0 days 00:01:23.432000
55,48.0,2.0,23.0,107111,MEDIUM,True,0 days 00:01:22.518000
55,49.0,2.0,24.0,111768,MEDIUM,True,0 days 00:01:21.822000
55,50.0,2.0,25.0,116425,MEDIUM,True,0 days 00:01:21.699000
55,51.0,2.0,26.0,121082,MEDIUM,True,0 days 00:01:21.561000
55,52.0,2.0,27.0,125739,MEDIUM,True,0 days 00:01:21.722000
55,53.0,2.0,28.0,130396,MEDIUM,True,0 days 00:01:25.543000
55,54.0,2.0,29.0,135053,MEDIUM,True,0 days 00:01:21.335000
55,55.0,2.0,30.0,139710,MEDIUM,True,0 days 00:01:21.414000
55,56.0,2.0,31.0,144367,MEDIUM,True,0 days 00:01:21.684000
55,57.0,2.0,32.0,149024,MEDIUM,True,0 days 00:01:21.530000
55,58.0,2.0,33.0,153681,MEDIUM,True,0 days 00:01:21.779000
55,59.0,2.0,34.0,158338,MEDIUM,True,0 days 00:01:21.856000
55,60.0,2.0,35.0,162995,MEDIUM,True,0 days 00:01:22.265000
55,61.0,2.0,36.0,167652,MEDIUM,True,0 days 00:01:21.324000
55,62.0,2.0,37.0,172309,MEDIUM,True,0 days 00:01:21.727000
55,63.0,2.0,38.0,176966,MEDIUM,True,0 days 00:01:22.849000
55,64.0,2.0,39.0,181623,MEDIUM,True,0 days 00:01:21.621000
55,65.0,2.0,40.0,186280,MEDIUM,True,0 days 00:01:21.890000
