DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
5,VET,1.0,1.0,4.0,21124,ULTRASOFT,False,5281,0 days 00:02:24.248000
5,VET,2.0,1.0,5.0,26405,ULTRASOFT,False,10562,
5,VET,3.0,1.0,6.0,31686,ULTRASOFT,False,15843,
5,VET,4.0,1.0,7.0,36967,ULTRASOFT,False,21124,
5,VET,5.0,1.0,8.0,42248,ULTRASOFT,False,26405,0 days 00:01:44.870000
5,VET,6.0,1.0,9.0,47529,ULTRASOFT,False,31686,0 days 00:01:45.497000
5,VET,7.0,1.0,10.0,52810,ULTRASOFT,False,36967,0 days 00:02:09.512000
5,VET,8.0,1.0,11.0,58091,ULTRASOFT,False,42248,0 days 00:02:15.199000
5,VET,9.0,1.0,12.0,63372,ULTRASOFT,False,47529,0 days 00:01:44.412000
5,VET,10.0,1.0,13.0,68653,ULTRASOFT,False,52810,0 days 00:01:45.055000
5,VET,11.0,1.0,14.0,73934,ULTRASOFT,False,58091,0 days 00:01:45.372000
5,VET,12.0,1.0,15.0,79215,ULTRASOFT,False,63372,0 days 00:01:45.257000
5,VET,13.0,1.0,16.0,84496,ULTRASOFT,False,68653,0 days 00:01:45.338000
5,VET,14.0,1.0,17.0,89777,ULTRASOFT,False,73934,0 days 00:01:44.921000
5,VET,15.0,1.0,18.0,95058,ULTRASOFT,False,79215,0 days 00:01:47.097000
5,VET,16.0,2.0,1.0,5281,SUPERSOFT,True,84496,0 days 00:02:05.214000
5,VET,17.0,2.0,2.0,10562,SUPERSOFT,True,89777,0 days 00:01:43.602000
5,VET,18.0,2.0,3.0,15843,SUPERSOFT,True,95058,0 days 00:01:43.385000
5,VET,19.0,2.0,4.0,21124,SUPERSOFT,True,100339,0 days 00:01:43.775000
5,VET,20.0,2.0,5.0,26405,SUPERSOFT,True,105620,0 days 00:01:43.897000
5,VET,21.0,2.0,6.0,31686,SUPERSOFT,True,110901,0 days 00:01:43.818000
5,VET,22.0,2.0,7.0,36967,SUPERSOFT,True,116182,0 days 00:01:43.704000
5,VET,23.0,2.0,8.0,42248,SUPERSOFT,True,121463,0 days 00:01:43.848000
5,VET,24.0,2.0,9.0,47529,SUPERSOFT,True,126744,0 days 00:01:43.918000
5,VET,25.0,2.0,10.0,52810,SUPERSOFT,True,132025,0 days 00:01:43.949000
5,VET,26.0,2.0,11.0,58091,SUPERSOFT,True,137306,0 days 00:01:44.513000
5,VET,27.0,2.0,12.0,63372,SUPERSOFT,True,142587,0 days 00:01:44.762000
5,VET,28.0,2.0,13.0,68653,SUPERSOFT,True,147868,0 days 00:01:43.465000
5,VET,29.0,2.0,14.0,73934,SUPERSOFT,True,153149,0 days 00:01:43.017000
5,VET,30.0,2.0,15.0,79215,SUPERSOFT,True,158430,0 days 00:01:43.027000
5,VET,31.0,2.0,16.0,84496,SUPERSOFT,True,163711,0 days 00:01:43.435000
5,VET,32.0,2.0,17.0,89777,SUPERSOFT,True,168992,0 days 00:01:43.025000
5,VET,33.0,2.0,18.0,95058,SUPERSOFT,True,174273,0 days 00:01:43.269000
5,VET,34.0,2.0,19.0,100339,SUPERSOFT,True,179554,0 days 00:01:43.368000
5,VET,35.0,2.0,20.0,105620,SUPERSOFT,True,184835,0 days 00:01:43.441000
5,VET,36.0,2.0,21.0,110901,SUPERSOFT,True,190116,0 days 00:01:43.498000
5,VET,37.0,2.0,22.0,116182,SUPERSOFT,True,195397,0 days 00:01:42.648000
5,VET,38.0,2.0,23.0,121463,SUPERSOFT,True,200678,0 days 00:01:42.768000
5,VET,39.0,2.0,24.0,126744,SUPERSOFT,True,205959,0 days 00:01:42.858000
5,VET,40.0,2.0,25.0,132025,SUPERSOFT,True,211240,0 days 00:01:42.948000
5,VET,41.0,2.0,26.0,137306,SUPERSOFT,True,216521,0 days 00:01:43.067000
5,VET,42.0,2.0,27.0,142587,SUPERSOFT,True,221802,0 days 00:01:42.761000
5,VET,43.0,2.0,28.0,147868,SUPERSOFT,True,227083,0 days 00:01:43.100000
5,VET,44.0,2.0,29.0,153149,SUPERSOFT,True,232364,0 days 00:01:42.738000
5,VET,45.0,2.0,30.0,158430,SUPERSOFT,True,237645,0 days 00:01:42.580000
5,VET,46.0,2.0,31.0,163711,SUPERSOFT,True,242926,0 days 00:01:42.750000
5,VET,47.0,2.0,32.0,168992,SUPERSOFT,True,248207,0 days 00:01:43.732000
5,VET,48.0,2.0,33.0,174273,SUPERSOFT,True,253488,0 days 00:01:42.768000
5,VET,49.0,2.0,34.0,179554,SUPERSOFT,True,258769,0 days 00:01:42.787000
5,VET,50.0,2.0,35.0,184835,SUPERSOFT,True,264050,0 days 00:01:42.008000
5,VET,51.0,2.0,36.0,190116,SUPERSOFT,True,269331,0 days 00:01:41.450000
5,VET,52.0,2.0,37.0,195397,SUPERSOFT,True,274612,0 days 00:01:42.233000
5,VET,53.0,2.0,38.0,200678,SUPERSOFT,True,279893,0 days 00:01:41.488000
5,VET,54.0,2.0,39.0,205959,SUPERSOFT,True,285174,0 days 00:01:40.867000
5,VET,55.0,2.0,40.0,211240,SUPERSOFT,True,290455,0 days 00:01:41.296000
