Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
5,1.0,1.0,6.0,36018,SOFT,False,0 days 00:01:53.543000
5,2.0,1.0,7.0,42021,SOFT,False,0 days 00:01:49.704000
5,3.0,1.0,8.0,48024,SOFT,False,0 days 00:01:49.032000
5,4.0,1.0,9.0,54027,SOFT,False,0 days 00:01:48.356000
5,5.0,1.0,10.0,60030,SOFT,False,0 days 00:01:49.221000
5,6.0,1.0,11.0,66033,SOFT,False,0 days 00:01:49.157000
5,7.0,1.0,12.0,72036,SOFT,False,0 days 00:01:48.276000
5,8.0,1.0,13.0,78039,SOFT,False,0 days 00:01:48.940000
5,9.0,1.0,14.0,84042,SOFT,False,0 days 00:01:49.009000
5,10.0,1.0,15.0,90045,SOFT,False,0 days 00:01:49.490000
5,11.0,1.0,16.0,96048,SOFT,False,0 days 00:01:54.804000
5,12.0,2.0,1.0,6003,MEDIUM,True,0 days 00:02:03.724000
5,13.0,2.0,2.0,12006,MEDIUM,True,0 days 00:01:46.931000
5,14.0,2.0,3.0,18009,MEDIUM,True,0 days 00:01:46.852000
5,15.0,2.0,4.0,24012,MEDIUM,True,0 days 00:01:47.092000
5,16.0,2.0,5.0,30015,MEDIUM,True,0 days 00:01:47.008000
5,17.0,2.0,6.0,36018,MEDIUM,True,0 days 00:01:46.592000
5,18.0,2.0,7.0,42021,MEDIUM,True,0 days 00:01:46.533000
5,19.0,2.0,8.0,48024,MEDIUM,True,0 days 00:01:45.937000
5,20.0,2.0,9.0,54027,MEDIUM,True,0 days 00:01:46.071000
5,21.0,2.0,10.0,60030,MEDIUM,True,0 days 00:01:45.795000
5,22.0,2.0,11.0,66033,MEDIUM,True,0 days 00:01:45.923000
5,23.0,2.0,12.0,72036,MEDIUM,True,0 days 00:01:46.180000
5,24.0,2.0,13.0,78039,MEDIUM,True,0 days 00:01:45.807000
5,25.0,2.0,14.0,84042,MEDIUM,True,0 days 00:01:46.303000
5,26.0,2.0,15.0,90045,MEDIUM,True,0 days 00:01:45.989000
5,27.0,2.0,16.0,96048,MEDIUM,True,0 days 00:01:45.640000
5,28.0,2.0,17.0,102051,MEDIUM,True,0 days 00:01:45.735000
5,29.0,2.0,18.0,108054,MEDIUM,True,0 days 00:01:45.670000
5,30.0,2.0,19.0,114057,MEDIUM,True,0 days 00:01:45.637000
5,31.0,2.0,20.0,120060,MEDIUM,True,0 days 00:01:45.752000
5,32.0,2.0,21.0,126063,MEDIUM,True,0 days 00:01:46.758000
5,33.0,2.0,22.0,132066,MEDIUM,True,0 days 00:01:47.479000
5,34.0,2.0,23.0,138069,MEDIUM,True,0 days 00:01:46.086000
5,35.0,2.0,24.0,144072,MEDIUM,True,0 days 00:01:45.694000
5,36.0,2.0,25.0,150075,MEDIUM,True,0 days 00:01:45.499000
5,37.0,2.0,26.0,156078,MEDIUM,True,0 days 00:01:45.432000
5,38.0,2.0,27.0,162081,MEDIUM,True,0 days 00:01:45.780000
5,39.0,2.0,28.0,168084,MEDIUM,True,0 days 00:01:46.529000
5,40.0,2.0,29.0,174087,MEDIUM,True,0 days 00:02:24.834000
5,41.0,2.0,30.0,180090,MEDIUM,True,0 days 00:02:04.656000
5,42.0,2.0,31.0,186093,MEDIUM,True,0 days 00:01:44.944000
5,43.0,2.0,32.0,192096,MEDIUM,True,0 days 00:01:45.598000
5,44.0,2.0,33.0,198099,MEDIUM,True,0 days 00:01:44.834000
5,45.0,2.0,34.0,204102,MEDIUM,True,0 days 00:01:45.559000
5,46.0,2.0,35.0,210105,MEDIUM,True,0 days 00:01:44.629000
5,47.0,2.0,36.0,216108,MEDIUM,True,0 days 00:01:45.248000
5,48.0,2.0,37.0,222111,MEDIUM,True,0 days 00:01:45.090000
5,49.0,2.0,38.0,228114,MEDIUM,True,0 days 00:01:45.238000
5,50.0,2.0,39.0,234117,MEDIUM,True,0 days 00:01:45.926000
5,51.0,2.0,40.0,240120,MEDIUM,True,0 days 00:01:48.165000
