Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
5,1.0,,,0,nan,True,0 days 00:01:38.979000
5,2.0,1.0,4.0,23228,SUPERSOFT,False,0 days 00:01:35.751000
5,3.0,1.0,5.0,29035,SUPERSOFT,False,0 days 00:01:35.415000
5,4.0,1.0,6.0,34842,SUPERSOFT,False,0 days 00:02:13.087000
5,5.0,1.0,7.0,40649,SUPERSOFT,False,0 days 00:02:21.661000
5,6.0,1.0,8.0,46456,SUPERSOFT,False,0 days 00:02:27.986000
5,7.0,1.0,9.0,52263,SUPERSOFT,False,0 days 00:02:27.375000
5,8.0,1.0,10.0,58070,SUPERSOFT,False,0 days 00:01:50.674000
5,9.0,1.0,11.0,63877,SUPERSOFT,False,0 days 00:01:36.393000
5,10.0,1.0,12.0,69684,SUPERSOFT,False,0 days 00:01:37.984000
5,11.0,1.0,13.0,75491,SUPERSOFT,False,0 days 00:01:39.305000
5,12.0,1.0,14.0,81298,SUPERSOFT,False,0 days 00:01:37.044000
5,13.0,1.0,15.0,87105,SUPERSOFT,False,0 days 00:01:37.531000
5,14.0,1.0,16.0,92912,SUPERSOFT,False,0 days 00:01:36.294000
5,15.0,1.0,17.0,98719,SUPERSOFT,False,0 days 00:01:37.087000
5,16.0,1.0,18.0,104526,SUPERSOFT,False,0 days 00:01:37.268000
5,17.0,1.0,19.0,110333,SUPERSOFT,False,0 days 00:01:36.700000
5,18.0,1.0,20.0,116140,SUPERSOFT,False,0 days 00:01:36.859000
5,19.0,1.0,21.0,121947,SUPERSOFT,False,0 days 00:01:36.250000
5,20.0,1.0,22.0,127754,SUPERSOFT,False,0 days 00:01:36.705000
5,21.0,1.0,23.0,133561,SUPERSOFT,False,0 days 00:01:35.284000
5,22.0,1.0,24.0,139368,SUPERSOFT,False,0 days 00:01:36.190000
5,23.0,1.0,25.0,145175,SUPERSOFT,False,0 days 00:01:36.515000
5,24.0,1.0,26.0,150982,SUPERSOFT,False,0 days 00:01:37.049000
5,25.0,1.0,27.0,156789,SUPERSOFT,False,0 days 00:01:37.025000
5,26.0,1.0,28.0,162596,SUPERSOFT,False,0 days 00:01:40.213000
5,27.0,2.0,1.0,5807,SOFT,True,0 days 00:01:51.858000
5,28.0,2.0,2.0,11614,SOFT,True,0 days 00:01:36.431000
5,29.0,2.0,3.0,17421,SOFT,True,0 days 00:01:35.314000
5,30.0,2.0,4.0,23228,SOFT,True,0 days 00:01:36.106000
5,31.0,2.0,5.0,29035,SOFT,True,0 days 00:01:33.649000
5,32.0,2.0,6.0,34842,SOFT,True,0 days 00:01:34.513000
5,33.0,2.0,7.0,40649,SOFT,True,0 days 00:01:33.243000
5,34.0,2.0,8.0,46456,SOFT,True,0 days 00:01:34.424000
5,35.0,2.0,9.0,52263,SOFT,True,0 days 00:01:33.789000
5,36.0,2.0,10.0,58070,SOFT,True,0 days 00:01:34.409000
5,37.0,2.0,11.0,63877,SOFT,True,0 days 00:01:34.648000
5,38.0,2.0,12.0,69684,SOFT,True,0 days 00:01:35.136000
5,39.0,2.0,13.0,75491,SOFT,True,0 days 00:01:34.901000
5,40.0,2.0,14.0,81298,SOFT,True,0 days 00:01:37.034000
5,41.0,2.0,15.0,87105,SOFT,True,0 days 00:01:52.151000
5,42.0,2.0,16.0,92912,SOFT,True,0 days 00:01:34.495000
5,43.0,2.0,17.0,98719,SOFT,True,0 days 00:01:34.868000
5,44.0,2.0,18.0,104526,SOFT,True,0 days 00:01:35.046000
5,45.0,2.0,19.0,110333,SOFT,True,0 days 00:01:34.654000
5,46.0,2.0,20.0,116140,SOFT,True,0 days 00:01:34.647000
5,47.0,2.0,21.0,121947,SOFT,True,0 days 00:01:34.591000
5,48.0,2.0,22.0,127754,SOFT,True,0 days 00:01:34.415000
5,49.0,2.0,23.0,133561,SOFT,True,0 days 00:01:34.259000
5,50.0,2.0,24.0,139368,SOFT,True,0 days 00:01:34.458000
5,51.0,2.0,25.0,145175,SOFT,True,0 days 00:01:34.284000
5,52.0,2.0,26.0,150982,SOFT,True,0 days 00:01:32.670000
5,53.0,2.0,27.0,156789,SOFT,True,0 days 00:01:32.318000
