Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
77,1.0,1.0,4.0,17272,MEDIUM,False,0 days 00:01:12.813000
77,2.0,1.0,5.0,21590,MEDIUM,False,0 days 00:01:09.891000
77,3.0,1.0,6.0,25908,MEDIUM,False,0 days 00:01:09.733000
77,4.0,1.0,7.0,30226,MEDIUM,False,0 days 00:01:09.492000
77,5.0,1.0,8.0,34544,MEDIUM,False,0 days 00:01:09.411000
77,6.0,1.0,9.0,38862,MEDIUM,False,0 days 00:01:09.649000
77,7.0,1.0,10.0,43180,MEDIUM,False,0 days 00:01:09.628000
77,8.0,1.0,11.0,47498,MEDIUM,False,0 days 00:01:09.519000
77,9.0,1.0,12.0,51816,MEDIUM,False,0 days 00:01:09.646000
77,10.0,1.0,13.0,56134,MEDIUM,False,0 days 00:01:09.839000
77,11.0,1.0,14.0,60452,MEDIUM,False,0 days 00:01:10.062000
77,12.0,1.0,15.0,64770,MEDIUM,False,0 days 00:01:10.100000
77,13.0,1.0,16.0,69088,MEDIUM,False,0 days 00:01:10.030000
77,14.0,1.0,17.0,73406,MEDIUM,False,0 days 00:01:09.520000
77,15.0,1.0,18.0,77724,MEDIUM,False,0 days 00:01:09.544000
77,16.0,1.0,19.0,82042,MEDIUM,False,0 days 00:01:09.574000
77,17.0,1.0,20.0,86360,MEDIUM,False,0 days 00:01:09.436000
77,18.0,1.0,21.0,90678,MEDIUM,False,0 days 00:01:09.755000
77,19.0,1.0,22.0,94996,MEDIUM,False,0 days 00:01:09.910000
77,20.0,1.0,23.0,99314,MEDIUM,False,0 days 00:01:09.440000
77,21.0,1.0,24.0,103632,MEDIUM,False,0 days 00:01:12.674000
77,22.0,2.0,1.0,4318,HARD,True,0 days 00:01:26.584000
77,23.0,2.0,2.0,8636,HARD,True,0 days 00:01:09.131000
77,24.0,2.0,3.0,12954,HARD,True,0 days 00:01:09.520000
77,25.0,2.0,4.0,17272,HARD,True,0 days 00:01:09.477000
77,26.0,2.0,5.0,21590,HARD,True,0 days 00:01:09.251000
77,27.0,2.0,6.0,25908,HARD,True,0 days 00:01:09.265000
77,28.0,2.0,7.0,30226,HARD,True,0 days 00:01:08.984000
77,29.0,2.0,8.0,34544,HARD,True,0 days 00:01:09.190000
77,30.0,2.0,9.0,38862,HARD,True,0 days 00:01:09.217000
77,31.0,2.0,10.0,43180,HARD,True,0 days 00:01:08.947000
77,32.0,2.0,11.0,47498,HARD,True,0 days 00:01:08.986000
77,33.0,2.0,12.0,51816,HARD,True,0 days 00:01:08.955000
77,34.0,2.0,13.0,56134,HARD,True,0 days 00:01:08.843000
77,35.0,2.0,14.0,60452,HARD,True,0 days 00:01:08.716000
77,36.0,2.0,15.0,64770,HARD,True,0 days 00:01:09.045000
77,37.0,2.0,16.0,69088,HARD,True,0 days 00:01:09.266000
77,38.0,2.0,17.0,73406,HARD,True,0 days 00:01:08.984000
77,39.0,2.0,18.0,77724,HARD,True,0 days 00:01:08.796000
77,40.0,2.0,19.0,82042,HARD,True,0 days 00:01:08.714000
77,41.0,2.0,20.0,86360,HARD,True,0 days 00:01:08.673000
77,42.0,2.0,21.0,90678,HARD,True,0 days 00:01:08.733000
77,43.0,2.0,22.0,94996,HARD,True,0 days 00:01:08.841000
77,44.0,2.0,23.0,99314,HARD,True,0 days 00:01:08.977000
77,45.0,2.0,24.0,103632,HARD,True,0 days 00:01:09.044000
77,46.0,2.0,25.0,107950,HARD,True,0 days 00:01:09.290000
77,47.0,2.0,26.0,112268,HARD,True,0 days 00:01:08.919000
77,48.0,2.0,27.0,116586,HARD,True,0 days 00:01:08.764000
77,49.0,2.0,28.0,120904,HARD,True,0 days 00:01:09.029000
77,50.0,2.0,29.0,125222,HARD,True,0 days 00:01:08.943000
77,51.0,2.0,30.0,129540,HARD,True,0 days 00:01:08.802000
77,52.0,2.0,31.0,133858,HARD,True,0 days 00:01:08.935000
77,53.0,2.0,32.0,138176,HARD,True,0 days 00:01:08.565000
77,54.0,2.0,33.0,142494,HARD,True,0 days 00:01:08.882000
77,55.0,2.0,34.0,146812,HARD,True,0 days 00:01:08.898000
77,56.0,2.0,35.0,151130,HARD,True,0 days 00:01:10.302000
77,57.0,2.0,36.0,155448,HARD,True,0 days 00:01:09.249000
77,58.0,2.0,37.0,159766,HARD,True,0 days 00:01:09.169000
77,59.0,2.0,38.0,164084,HARD,True,0 days 00:01:09.059000
77,60.0,2.0,39.0,168402,HARD,True,0 days 00:01:09.081000
77,61.0,2.0,40.0,172720,HARD,True,0 days 00:01:09.095000
77,62.0,2.0,41.0,177038,HARD,True,0 days 00:01:09.149000
77,63.0,2.0,42.0,181356,HARD,True,0 days 00:01:08.601000
77,64.0,2.0,43.0,185674,HARD,True,0 days 00:01:08.937000
77,65.0,2.0,44.0,189992,HARD,True,0 days 00:01:09.641000
77,66.0,2.0,45.0,194310,HARD,True,0 days 00:01:08.940000
77,67.0,2.0,46.0,198628,HARD,True,0 days 00:01:09.013000
77,68.0,2.0,47.0,202946,HARD,True,0 days 00:01:08.905000
77,69.0,2.0,48.0,207264,HARD,True,0 days 00:01:09.554000
77,70.0,2.0,49.0,211582,HARD,True,0 days 00:01:09.556000
77,71.0,2.0,50.0,215900,HARD,True,0 days 00:01:09.699000
