DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
77,BOT,1.0,1.0,4.0,23392,MEDIUM,False,5848,0 days 00:02:12.231000
77,BOT,2.0,1.0,5.0,29240,MEDIUM,False,11696,
77,BOT,3.0,1.0,6.0,35088,MEDIUM,False,17544,
77,BOT,4.0,1.0,7.0,40936,MEDIUM,False,23392,0 days 00:01:42.444000
77,BOT,5.0,1.0,8.0,46784,MEDIUM,False,29240,0 days 00:01:41.673000
77,BOT,6.0,1.0,9.0,52632,MEDIUM,False,35088,0 days 00:01:41.494000
77,BOT,7.0,1.0,10.0,58480,MEDIUM,False,40936,0 days 00:01:40.531000
77,BOT,8.0,1.0,11.0,64328,MEDIUM,False,46784,0 days 00:01:39.838000
77,BOT,9.0,1.0,12.0,70176,MEDIUM,False,52632,0 days 00:01:39.282000
77,BOT,10.0,1.0,13.0,76024,MEDIUM,False,58480,0 days 00:01:39.632000
77,BOT,11.0,1.0,14.0,81872,MEDIUM,False,64328,0 days 00:01:39.795000
77,BOT,12.0,1.0,15.0,87720,MEDIUM,False,70176,0 days 00:01:39.527000
77,BOT,13.0,1.0,16.0,93568,MEDIUM,False,76024,0 days 00:01:38.806000
77,BOT,14.0,1.0,17.0,99416,MEDIUM,False,81872,0 days 00:01:38.903000
77,BOT,15.0,1.0,18.0,105264,MEDIUM,False,87720,0 days 00:01:38.962000
77,BOT,16.0,1.0,19.0,111112,MEDIUM,False,93568,0 days 00:01:38.785000
77,BOT,17.0,1.0,20.0,116960,MEDIUM,False,99416,0 days 00:01:39.207000
77,BOT,18.0,1.0,21.0,122808,MEDIUM,False,105264,0 days 00:01:39.698000
77,BOT,19.0,1.0,22.0,128656,MEDIUM,False,111112,0 days 00:01:39.271000
77,BOT,20.0,1.0,23.0,134504,MEDIUM,False,116960,0 days 00:01:39.314000
77,BOT,21.0,1.0,24.0,140352,MEDIUM,False,122808,0 days 00:01:38.843000
77,BOT,22.0,1.0,25.0,146200,MEDIUM,False,128656,0 days 00:01:38.842000
77,BOT,23.0,1.0,26.0,152048,MEDIUM,False,134504,0 days 00:01:38.848000
77,BOT,24.0,1.0,27.0,157896,MEDIUM,False,140352,0 days 00:01:38.453000
77,BOT,25.0,1.0,28.0,163744,MEDIUM,False,146200,0 days 00:01:38.458000
77,BOT,26.0,1.0,29.0,169592,MEDIUM,False,152048,0 days 00:01:38.875000
77,BOT,27.0,1.0,30.0,175440,MEDIUM,False,157896,0 days 00:01:38.597000
77,BOT,28.0,1.0,31.0,181288,MEDIUM,False,163744,0 days 00:02:08.041000
77,BOT,29.0,2.0,4.0,23392,SOFT,False,169592,0 days 00:02:17.592000
77,BOT,30.0,2.0,5.0,29240,SOFT,False,175440,0 days 00:02:23.364000
77,BOT,31.0,2.0,6.0,35088,SOFT,False,181288,
77,BOT,32.0,2.0,7.0,40936,SOFT,False,187136,
77,BOT,33.0,2.0,8.0,46784,SOFT,False,192984,0 days 00:01:38.110000
77,BOT,34.0,2.0,9.0,52632,SOFT,False,198832,0 days 00:01:37.695000
77,BOT,35.0,2.0,10.0,58480,SOFT,False,204680,0 days 00:01:37.655000
77,BOT,36.0,2.0,11.0,64328,SOFT,False,210528,0 days 00:01:37.304000
77,BOT,37.0,2.0,12.0,70176,SOFT,False,216376,0 days 00:01:37.533000
77,BOT,38.0,2.0,13.0,76024,SOFT,False,222224,0 days 00:01:37.407000
77,BOT,39.0,2.0,14.0,81872,SOFT,False,228072,0 days 00:01:37.324000
77,BOT,40.0,2.0,15.0,87720,SOFT,False,233920,0 days 00:01:37.344000
77,BOT,41.0,2.0,16.0,93568,SOFT,False,239768,0 days 00:01:37.124000
77,BOT,42.0,2.0,17.0,99416,SOFT,False,245616,0 days 00:01:37.030000
77,BOT,43.0,2.0,18.0,105264,SOFT,False,251464,0 days 00:01:36.906000
77,BOT,44.0,2.0,19.0,111112,SOFT,False,257312,0 days 00:01:36.830000
77,BOT,45.0,2.0,20.0,116960,SOFT,False,263160,0 days 00:01:36.777000
77,BOT,46.0,2.0,21.0,122808,SOFT,False,269008,0 days 00:01:36.725000
77,BOT,47.0,2.0,22.0,128656,SOFT,False,274856,0 days 00:01:36.768000
77,BOT,48.0,2.0,23.0,134504,SOFT,False,280704,0 days 00:01:36.513000
77,BOT,49.0,2.0,24.0,140352,SOFT,False,286552,0 days 00:01:36.407000
77,BOT,50.0,2.0,25.0,146200,SOFT,False,292400,0 days 00:01:36.316000
77,BOT,51.0,2.0,26.0,152048,SOFT,False,298248,0 days 00:01:36.801000
77,BOT,52.0,2.0,27.0,157896,SOFT,False,304096,0 days 00:01:36.784000
77,BOT,53.0,2.0,28.0,163744,SOFT,False,309944,0 days 00:01:37.234000
