DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
7,RAI,1.0,1.0,4.0,17272,SOFT,False,0 days 00:01:15.308000
7,RAI,2.0,1.0,5.0,21590,SOFT,False,0 days 00:01:10.996000
7,RAI,3.0,1.0,6.0,25908,SOFT,False,0 days 00:01:10.409000
7,RAI,4.0,1.0,7.0,30226,SOFT,False,0 days 00:01:10.723000
7,RAI,5.0,1.0,8.0,34544,SOFT,False,0 days 00:01:10.733000
7,RAI,6.0,1.0,9.0,38862,SOFT,False,0 days 00:01:11.461000
7,RAI,7.0,1.0,10.0,43180,SOFT,False,0 days 00:01:10.724000
7,RAI,8.0,1.0,11.0,47498,SOFT,False,0 days 00:01:11.039000
7,RAI,9.0,1.0,12.0,51816,SOFT,False,0 days 00:01:11.815000
7,RAI,10.0,1.0,13.0,56134,SOFT,False,0 days 00:01:11.062000
7,RAI,11.0,1.0,14.0,60452,SOFT,False,0 days 00:01:10.633000
7,RAI,12.0,1.0,15.0,64770,SOFT,False,0 days 00:01:10.646000
7,RAI,13.0,1.0,16.0,69088,SOFT,False,0 days 00:01:11.028000
7,RAI,14.0,1.0,17.0,73406,SOFT,False,0 days 00:01:11.917000
7,RAI,15.0,1.0,18.0,77724,SOFT,False,0 days 00:01:10.903000
7,RAI,16.0,1.0,19.0,82042,SOFT,False,0 days 00:01:10.151000
7,RAI,17.0,1.0,20.0,86360,SOFT,False,0 days 00:01:10.477000
7,RAI,18.0,1.0,21.0,90678,SOFT,False,0 days 00:01:10.839000
7,RAI,19.0,1.0,22.0,94996,SOFT,False,0 days 00:01:10.587000
7,RAI,20.0,1.0,23.0,99314,SOFT,False,0 days 00:01:10.360000
7,RAI,21.0,1.0,24.0,103632,SOFT,False,0 days 00:01:10.531000
7,RAI,22.0,1.0,25.0,107950,SOFT,False,0 days 00:01:10.559000
7,RAI,23.0,1.0,26.0,112268,SOFT,False,0 days 00:01:13.870000
7,RAI,24.0,2.0,1.0,4318,HARD,True,0 days 00:01:27.740000
7,RAI,25.0,2.0,2.0,8636,HARD,True,0 days 00:01:10.472000
7,RAI,26.0,2.0,3.0,12954,HARD,True,0 days 00:01:10.204000
7,RAI,27.0,2.0,4.0,17272,HARD,True,0 days 00:01:10.197000
7,RAI,28.0,2.0,5.0,21590,HARD,True,0 days 00:01:09.568000
7,RAI,29.0,2.0,6.0,25908,HARD,True,0 days 00:01:09.920000
7,RAI,30.0,2.0,7.0,30226,HARD,True,0 days 00:01:09.461000
7,RAI,31.0,2.0,8.0,34544,HARD,True,0 days 00:01:09.808000
7,RAI,32.0,2.0,9.0,38862,HARD,True,0 days 00:01:11.225000
7,RAI,33.0,2.0,10.0,43180,HARD,True,0 days 00:01:10.228000
7,RAI,34.0,2.0,11.0,47498,HARD,True,0 days 00:01:10.048000
7,RAI,35.0,2.0,12.0,51816,HARD,True,0 days 00:01:10.233000
7,RAI,36.0,2.0,13.0,56134,HARD,True,0 days 00:01:10.138000
7,RAI,37.0,2.0,14.0,60452,HARD,True,0 days 00:01:09.854000
7,RAI,38.0,2.0,15.0,64770,HARD,True,0 days 00:01:10.329000
7,RAI,39.0,2.0,16.0,69088,HARD,True,0 days 00:01:09.909000
7,RAI,40.0,2.0,17.0,73406,HARD,True,0 days 00:01:10.196000
7,RAI,41.0,2.0,18.0,77724,HARD,True,0 days 00:01:09.957000
7,RAI,42.0,2.0,19.0,82042,HARD,True,0 days 00:01:10.125000
7,RAI,43.0,2.0,20.0,86360,HARD,True,0 days 00:01:10.022000
7,RAI,44.0,2.0,21.0,90678,HARD,True,0 days 00:01:10.176000
7,RAI,45.0,2.0,22.0,94996,HARD,True,0 days 00:01:10.416000
7,RAI,46.0,2.0,23.0,99314,HARD,True,0 days 00:01:10.063000
7,RAI,47.0,2.0,24.0,103632,HARD,True,0 days 00:01:09.461000
7,RAI,48.0,2.0,25.0,107950,HARD,True,0 days 00:01:09.661000
7,RAI,49.0,2.0,26.0,112268,HARD,True,0 days 00:01:09.679000
7,RAI,50.0,2.0,27.0,116586,HARD,True,0 days 00:01:09.708000
7,RAI,51.0,2.0,28.0,120904,HARD,True,0 days 00:01:09.590000
7,RAI,52.0,2.0,29.0,125222,HARD,True,0 days 00:01:09.790000
7,RAI,53.0,2.0,30.0,129540,HARD,True,0 days 00:01:10.534000
7,RAI,54.0,2.0,31.0,133858,HARD,True,0 days 00:01:09.751000
7,RAI,55.0,2.0,32.0,138176,HARD,True,0 days 00:01:09.817000
7,RAI,56.0,2.0,33.0,142494,HARD,True,0 days 00:01:11.118000
7,RAI,57.0,2.0,34.0,146812,HARD,True,0 days 00:01:09.126000
7,RAI,58.0,2.0,35.0,151130,HARD,True,0 days 00:01:09.137000
7,RAI,59.0,2.0,36.0,155448,HARD,True,0 days 00:01:10.419000
7,RAI,60.0,2.0,37.0,159766,HARD,True,0 days 00:01:09.433000
7,RAI,61.0,2.0,38.0,164084,HARD,True,0 days 00:01:09.509000
7,RAI,62.0,2.0,39.0,168402,HARD,True,0 days 00:01:09.242000
7,RAI,63.0,2.0,40.0,172720,HARD,True,0 days 00:01:09.404000
7,RAI,64.0,2.0,41.0,177038,HARD,True,0 days 00:01:09.383000
7,RAI,65.0,2.0,42.0,181356,HARD,True,0 days 00:01:09.395000
7,RAI,66.0,2.0,43.0,185674,HARD,True,0 days 00:01:09.693000
7,RAI,67.0,2.0,44.0,189992,HARD,True,0 days 00:01:09.705000
7,RAI,68.0,2.0,45.0,194310,HARD,True,0 days 00:01:09.448000
7,RAI,69.0,2.0,46.0,198628,HARD,True,0 days 00:01:10.086000
7,RAI,70.0,2.0,47.0,202946,HARD,True,0 days 00:01:12.164000
