DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
7,RAI,1.0,,,0,nan,True,0 days 00:02:34.726000
7,RAI,2.0,2.0,1.0,6003,SOFT,True,
7,RAI,3.0,3.0,1.0,6003,ULTRASOFT,True,
7,RAI,4.0,3.0,2.0,12006,ULTRASOFT,True,
7,RAI,5.0,3.0,3.0,18009,ULTRASOFT,True,
7,RAI,6.0,3.0,4.0,24012,ULTRASOFT,True,0 days 00:02:00.197000
7,RAI,7.0,3.0,5.0,30015,ULTRASOFT,True,0 days 00:01:52.728000
7,RAI,8.0,3.0,6.0,36018,ULTRASOFT,True,0 days 00:01:50.211000
7,RAI,9.0,3.0,7.0,42021,ULTRASOFT,True,0 days 00:01:50.313000
7,RAI,10.0,3.0,8.0,48024,ULTRASOFT,True,0 days 00:01:48.803000
7,RAI,11.0,3.0,9.0,54027,ULTRASOFT,True,0 days 00:01:49.699000
7,RAI,12.0,3.0,10.0,60030,ULTRASOFT,True,0 days 00:01:49.824000
7,RAI,13.0,3.0,11.0,66033,ULTRASOFT,True,0 days 00:01:49.943000
7,RAI,14.0,3.0,12.0,72036,ULTRASOFT,True,0 days 00:01:48.328000
7,RAI,15.0,3.0,13.0,78039,ULTRASOFT,True,0 days 00:01:48.332000
7,RAI,16.0,3.0,14.0,84042,ULTRASOFT,True,0 days 00:01:48.256000
7,RAI,17.0,3.0,15.0,90045,ULTRASOFT,True,0 days 00:01:47.774000
7,RAI,18.0,3.0,16.0,96048,ULTRASOFT,True,0 days 00:01:48.719000
7,RAI,19.0,3.0,17.0,102051,ULTRASOFT,True,0 days 00:01:48.065000
7,RAI,20.0,3.0,18.0,108054,ULTRASOFT,True,0 days 00:01:48.226000
7,RAI,21.0,3.0,19.0,114057,ULTRASOFT,True,0 days 00:01:47.443000
7,RAI,22.0,3.0,20.0,120060,ULTRASOFT,True,0 days 00:01:47.262000
7,RAI,23.0,3.0,21.0,126063,ULTRASOFT,True,0 days 00:01:48.088000
7,RAI,24.0,3.0,22.0,132066,ULTRASOFT,True,0 days 00:01:47.850000
7,RAI,25.0,3.0,23.0,138069,ULTRASOFT,True,0 days 00:01:47.790000
7,RAI,26.0,3.0,24.0,144072,ULTRASOFT,True,0 days 00:01:47.604000
7,RAI,27.0,3.0,25.0,150075,ULTRASOFT,True,0 days 00:01:48.332000
7,RAI,28.0,3.0,26.0,156078,ULTRASOFT,True,0 days 00:01:47.770000
7,RAI,29.0,3.0,27.0,162081,ULTRASOFT,True,0 days 00:01:47.443000
7,RAI,30.0,3.0,28.0,168084,ULTRASOFT,True,0 days 00:01:46.865000
7,RAI,31.0,3.0,29.0,174087,ULTRASOFT,True,0 days 00:01:47.508000
7,RAI,32.0,3.0,30.0,180090,ULTRASOFT,True,0 days 00:01:47.267000
7,RAI,33.0,3.0,31.0,186093,ULTRASOFT,True,0 days 00:01:48.517000
7,RAI,34.0,3.0,32.0,192096,ULTRASOFT,True,0 days 00:01:47.421000
7,RAI,35.0,3.0,33.0,198099,ULTRASOFT,True,0 days 00:01:47.329000
7,RAI,36.0,3.0,34.0,204102,ULTRASOFT,True,0 days 00:01:47.237000
7,RAI,37.0,3.0,35.0,210105,ULTRASOFT,True,0 days 00:01:47.049000
7,RAI,38.0,3.0,36.0,216108,ULTRASOFT,True,0 days 00:01:46.859000
7,RAI,39.0,3.0,37.0,222111,ULTRASOFT,True,0 days 00:01:47.473000
7,RAI,40.0,3.0,38.0,228114,ULTRASOFT,True,0 days 00:02:17.585000
7,RAI,41.0,3.0,39.0,234117,ULTRASOFT,True,
7,RAI,42.0,3.0,40.0,240120,ULTRASOFT,True,0 days 00:02:18.482000
7,RAI,43.0,3.0,41.0,246123,ULTRASOFT,True,
7,RAI,44.0,3.0,42.0,252126,ULTRASOFT,True,
7,RAI,45.0,3.0,43.0,258129,ULTRASOFT,True,
7,RAI,46.0,3.0,44.0,264132,ULTRASOFT,True,
7,RAI,47.0,3.0,45.0,270135,ULTRASOFT,True,
7,RAI,48.0,3.0,46.0,276138,ULTRASOFT,True,0 days 00:01:49.615000
7,RAI,49.0,3.0,47.0,282141,ULTRASOFT,True,0 days 00:01:47.950000
7,RAI,50.0,3.0,48.0,288144,ULTRASOFT,True,0 days 00:01:46.523000
7,RAI,51.0,3.0,49.0,294147,ULTRASOFT,True,0 days 00:01:46.675000
