DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
8,GRO,1.0,1.0,4.0,23228,SOFT,False,5807,0 days 00:01:44.665000
8,GRO,2.0,1.0,5.0,29035,SOFT,False,11614,0 days 00:01:37.986000
8,GRO,3.0,1.0,6.0,34842,SOFT,False,17421,0 days 00:01:37.416000
8,GRO,4.0,1.0,7.0,40649,SOFT,False,23228,0 days 00:01:37.732000
8,GRO,5.0,1.0,8.0,46456,SOFT,False,29035,0 days 00:01:38.188000
8,GRO,6.0,1.0,9.0,52263,SOFT,False,34842,0 days 00:01:37.332000
8,GRO,7.0,1.0,10.0,58070,SOFT,False,40649,0 days 00:01:37.116000
8,GRO,8.0,1.0,11.0,63877,SOFT,False,46456,0 days 00:01:37.315000
8,GRO,9.0,1.0,12.0,69684,SOFT,False,52263,0 days 00:01:37.149000
8,GRO,10.0,1.0,13.0,75491,SOFT,False,58070,0 days 00:01:37.333000
8,GRO,11.0,1.0,14.0,81298,SOFT,False,63877,0 days 00:01:37.555000
8,GRO,12.0,1.0,15.0,87105,SOFT,False,69684,0 days 00:01:37.274000
8,GRO,13.0,1.0,16.0,92912,SOFT,False,75491,0 days 00:01:37.300000
8,GRO,14.0,1.0,17.0,98719,SOFT,False,81298,0 days 00:01:37.962000
8,GRO,15.0,1.0,18.0,104526,SOFT,False,87105,0 days 00:01:37.565000
8,GRO,16.0,1.0,19.0,110333,SOFT,False,92912,0 days 00:01:41.398000
8,GRO,17.0,2.0,1.0,5807,HARD,True,98719,0 days 00:01:54.853000
8,GRO,18.0,2.0,2.0,11614,HARD,True,104526,0 days 00:01:34.988000
8,GRO,19.0,2.0,3.0,17421,HARD,True,110333,0 days 00:01:35.547000
8,GRO,20.0,2.0,4.0,23228,HARD,True,116140,0 days 00:01:35.660000
8,GRO,21.0,2.0,5.0,29035,HARD,True,121947,0 days 00:01:37.006000
8,GRO,22.0,2.0,6.0,34842,HARD,True,127754,0 days 00:01:37.385000
8,GRO,23.0,2.0,7.0,40649,HARD,True,133561,0 days 00:01:35.609000
8,GRO,24.0,2.0,8.0,46456,HARD,True,139368,0 days 00:01:36.795000
8,GRO,25.0,2.0,9.0,52263,HARD,True,145175,0 days 00:01:36.116000
8,GRO,26.0,2.0,10.0,58070,HARD,True,150982,0 days 00:01:35.749000
8,GRO,27.0,2.0,11.0,63877,HARD,True,156789,0 days 00:01:35.546000
8,GRO,28.0,2.0,12.0,69684,HARD,True,162596,0 days 00:01:35.773000
8,GRO,29.0,2.0,13.0,75491,HARD,True,168403,0 days 00:01:35.696000
8,GRO,30.0,2.0,14.0,81298,HARD,True,174210,0 days 00:01:35.909000
8,GRO,31.0,2.0,15.0,87105,HARD,True,180017,0 days 00:01:37.916000
8,GRO,32.0,2.0,16.0,92912,HARD,True,185824,0 days 00:01:35.836000
8,GRO,33.0,2.0,17.0,98719,HARD,True,191631,0 days 00:01:35.935000
8,GRO,34.0,2.0,18.0,104526,HARD,True,197438,0 days 00:01:35.918000
8,GRO,35.0,2.0,19.0,110333,HARD,True,203245,0 days 00:01:35.913000
8,GRO,36.0,2.0,20.0,116140,HARD,True,209052,0 days 00:01:37.434000
8,GRO,37.0,2.0,21.0,121947,HARD,True,214859,0 days 00:01:36.001000
8,GRO,38.0,2.0,22.0,127754,HARD,True,220666,0 days 00:01:37.986000
8,GRO,39.0,2.0,23.0,133561,HARD,True,226473,0 days 00:01:36.185000
8,GRO,40.0,2.0,24.0,139368,HARD,True,232280,0 days 00:01:40.359000
8,GRO,41.0,2.0,25.0,145175,HARD,True,238087,0 days 00:01:36.750000
8,GRO,42.0,2.0,26.0,150982,HARD,True,243894,0 days 00:01:36.130000
8,GRO,43.0,2.0,27.0,156789,HARD,True,249701,0 days 00:01:35.918000
8,GRO,44.0,2.0,28.0,162596,HARD,True,255508,0 days 00:01:36.802000
8,GRO,45.0,2.0,29.0,168403,HARD,True,261315,0 days 00:01:36.187000
8,GRO,46.0,2.0,30.0,174210,HARD,True,267122,0 days 00:01:35.946000
8,GRO,47.0,2.0,31.0,180017,HARD,True,272929,0 days 00:01:36.308000
8,GRO,48.0,2.0,32.0,185824,HARD,True,278736,0 days 00:01:36.219000
8,GRO,49.0,2.0,33.0,191631,HARD,True,284543,0 days 00:01:36.751000
8,GRO,50.0,2.0,34.0,197438,HARD,True,290350,0 days 00:01:37.287000
8,GRO,51.0,2.0,35.0,203245,HARD,True,296157,0 days 00:01:36.815000
8,GRO,52.0,2.0,36.0,209052,HARD,True,301964,0 days 00:01:40.159000
