DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,LapTime
99,GIO,1.0,1.0,4.0,23368,SOFT,False,0 days 00:01:49.520000
99,GIO,2.0,1.0,5.0,29210,SOFT,False,0 days 00:01:39.841000
99,GIO,3.0,1.0,6.0,35052,SOFT,False,0 days 00:01:38.812000
99,GIO,4.0,1.0,7.0,40894,SOFT,False,0 days 00:01:38.813000
99,GIO,5.0,1.0,8.0,46736,SOFT,False,0 days 00:01:39.185000
99,GIO,6.0,1.0,9.0,52578,SOFT,False,0 days 00:01:40.184000
99,GIO,7.0,1.0,10.0,58420,SOFT,False,0 days 00:02:00
99,GIO,8.0,2.0,1.0,5842,HARD,True,0 days 00:01:42.348000
99,GIO,9.0,2.0,2.0,11684,HARD,True,0 days 00:01:38.642000
99,GIO,10.0,2.0,3.0,17526,HARD,True,0 days 00:01:38.224000
99,GIO,11.0,2.0,4.0,23368,HARD,True,0 days 00:01:38.286000
99,GIO,12.0,2.0,5.0,29210,HARD,True,0 days 00:01:37.913000
99,GIO,13.0,2.0,6.0,35052,HARD,True,0 days 00:01:38.360000
99,GIO,14.0,2.0,7.0,40894,HARD,True,0 days 00:01:38.224000
99,GIO,15.0,2.0,8.0,46736,HARD,True,0 days 00:01:38.481000
99,GIO,16.0,2.0,9.0,52578,HARD,True,0 days 00:01:38.029000
99,GIO,17.0,2.0,10.0,58420,HARD,True,0 days 00:01:37.708000
99,GIO,18.0,2.0,11.0,64262,HARD,True,0 days 00:01:37.844000
99,GIO,19.0,2.0,12.0,70104,HARD,True,0 days 00:01:38.163000
99,GIO,20.0,2.0,13.0,75946,HARD,True,0 days 00:01:37.621000
99,GIO,21.0,2.0,14.0,81788,HARD,True,0 days 00:01:37.336000
99,GIO,22.0,2.0,15.0,87630,HARD,True,0 days 00:01:37.301000
99,GIO,23.0,2.0,16.0,93472,HARD,True,0 days 00:01:37.039000
99,GIO,24.0,2.0,17.0,99314,HARD,True,0 days 00:01:37.082000
99,GIO,25.0,2.0,18.0,105156,HARD,True,0 days 00:01:37.101000
99,GIO,26.0,2.0,19.0,110998,HARD,True,0 days 00:01:38.043000
99,GIO,27.0,2.0,20.0,116840,HARD,True,0 days 00:01:36.815000
99,GIO,28.0,2.0,21.0,122682,HARD,True,0 days 00:01:36.973000
99,GIO,29.0,2.0,22.0,128524,HARD,True,0 days 00:01:38.415000
99,GIO,30.0,2.0,23.0,134366,HARD,True,0 days 00:01:37.205000
99,GIO,31.0,2.0,24.0,140208,HARD,True,0 days 00:01:36.887000
99,GIO,32.0,2.0,25.0,146050,HARD,True,0 days 00:01:37.083000
99,GIO,33.0,2.0,26.0,151892,HARD,True,0 days 00:01:38.115000
99,GIO,34.0,2.0,27.0,157734,HARD,True,0 days 00:01:57.764000
99,GIO,35.0,3.0,1.0,5842,MEDIUM,True,0 days 00:01:39.512000
99,GIO,36.0,3.0,2.0,11684,MEDIUM,True,0 days 00:01:37.326000
99,GIO,37.0,3.0,3.0,17526,MEDIUM,True,0 days 00:01:35.732000
99,GIO,38.0,3.0,4.0,23368,MEDIUM,True,0 days 00:01:36.121000
99,GIO,39.0,3.0,5.0,29210,MEDIUM,True,0 days 00:01:35.877000
99,GIO,40.0,3.0,6.0,35052,MEDIUM,True,0 days 00:01:35.803000
99,GIO,41.0,3.0,7.0,40894,MEDIUM,True,0 days 00:01:35.863000
99,GIO,42.0,3.0,8.0,46736,MEDIUM,True,0 days 00:01:35.265000
99,GIO,43.0,3.0,9.0,52578,MEDIUM,True,0 days 00:01:35.345000
99,GIO,44.0,3.0,10.0,58420,MEDIUM,True,0 days 00:01:35.552000
99,GIO,45.0,3.0,11.0,64262,MEDIUM,True,0 days 00:01:35.472000
99,GIO,46.0,3.0,12.0,70104,MEDIUM,True,0 days 00:01:35.905000
99,GIO,47.0,3.0,13.0,75946,MEDIUM,True,0 days 00:01:35.906000
99,GIO,48.0,3.0,14.0,81788,MEDIUM,True,0 days 00:01:35.401000
99,GIO,49.0,3.0,15.0,87630,MEDIUM,True,0 days 00:01:46.629000
99,GIO,50.0,3.0,16.0,93472,MEDIUM,True,0 days 00:01:35.115000
99,GIO,51.0,3.0,17.0,99314,MEDIUM,True,0 days 00:01:35.214000
99,GIO,52.0,3.0,18.0,105156,MEDIUM,True,0 days 00:01:35.326000
