DriverID,Driver,LapNumber,Stint,TireLife,TireMeters,Compound,IsFreshTire,DriverMeters,LapTime
9,ERI,1.0,,,0,nan,True,0,0 days 00:02:43.605000
9,ERI,2.0,1.0,1.0,4940,ULTRASOFT,True,9880,
9,ERI,3.0,1.0,2.0,9880,ULTRASOFT,True,14820,
9,ERI,4.0,1.0,3.0,14820,ULTRASOFT,True,19760,
9,ERI,5.0,1.0,4.0,19760,ULTRASOFT,True,24700,0 days 00:01:51.588000
9,ERI,6.0,1.0,5.0,24700,ULTRASOFT,True,29640,0 days 00:01:50.943000
9,ERI,7.0,1.0,6.0,29640,ULTRASOFT,True,34580,0 days 00:01:50.033000
9,ERI,8.0,1.0,7.0,34580,ULTRASOFT,True,39520,0 days 00:01:49.884000
9,ERI,9.0,1.0,8.0,39520,ULTRASOFT,True,44460,0 days 00:01:49.574000
9,ERI,10.0,1.0,9.0,44460,ULTRASOFT,True,49400,0 days 00:01:50.085000
9,ERI,11.0,1.0,10.0,49400,ULTRASOFT,True,54340,0 days 00:01:49.095000
9,ERI,12.0,1.0,11.0,54340,ULTRASOFT,True,59280,0 days 00:01:49.406000
9,ERI,13.0,1.0,12.0,59280,ULTRASOFT,True,64220,0 days 00:01:48.691000
9,ERI,14.0,1.0,13.0,64220,ULTRASOFT,True,69160,0 days 00:01:49.609000
9,ERI,15.0,1.0,14.0,69160,ULTRASOFT,True,74100,0 days 00:01:49.837000
9,ERI,16.0,1.0,15.0,74100,ULTRASOFT,True,79040,0 days 00:01:50.348000
9,ERI,17.0,1.0,16.0,79040,ULTRASOFT,True,83980,0 days 00:01:49.963000
9,ERI,18.0,1.0,17.0,83980,ULTRASOFT,True,88920,0 days 00:01:49.473000
9,ERI,19.0,1.0,18.0,88920,ULTRASOFT,True,93860,0 days 00:01:48.812000
9,ERI,20.0,1.0,19.0,93860,ULTRASOFT,True,98800,0 days 00:01:48.617000
9,ERI,21.0,1.0,20.0,98800,ULTRASOFT,True,103740,0 days 00:01:48.886000
9,ERI,22.0,1.0,21.0,103740,ULTRASOFT,True,108680,0 days 00:01:49.071000
9,ERI,23.0,1.0,22.0,108680,ULTRASOFT,True,113620,0 days 00:01:48.527000
9,ERI,24.0,1.0,23.0,113620,ULTRASOFT,True,118560,0 days 00:01:49.091000
9,ERI,25.0,1.0,24.0,118560,ULTRASOFT,True,123500,0 days 00:01:49.179000
9,ERI,26.0,1.0,25.0,123500,ULTRASOFT,True,128440,0 days 00:01:49.387000
9,ERI,27.0,1.0,26.0,128440,ULTRASOFT,True,133380,0 days 00:01:47.903000
9,ERI,28.0,1.0,27.0,133380,ULTRASOFT,True,138320,0 days 00:01:47.878000
9,ERI,29.0,1.0,28.0,138320,ULTRASOFT,True,143260,0 days 00:01:47.343000
9,ERI,30.0,1.0,29.0,143260,ULTRASOFT,True,148200,0 days 00:01:47.467000
9,ERI,31.0,1.0,30.0,148200,ULTRASOFT,True,153140,0 days 00:01:47.013000
9,ERI,32.0,1.0,31.0,153140,ULTRASOFT,True,158080,0 days 00:01:47.790000
9,ERI,33.0,1.0,32.0,158080,ULTRASOFT,True,163020,0 days 00:01:47.298000
9,ERI,34.0,1.0,33.0,163020,ULTRASOFT,True,167960,0 days 00:01:47.176000
9,ERI,35.0,1.0,34.0,167960,ULTRASOFT,True,172900,0 days 00:01:46.937000
9,ERI,36.0,1.0,35.0,172900,ULTRASOFT,True,177840,0 days 00:01:47.620000
9,ERI,37.0,1.0,36.0,177840,ULTRASOFT,True,182780,0 days 00:01:47.790000
9,ERI,38.0,1.0,37.0,182780,ULTRASOFT,True,187720,0 days 00:01:47.404000
9,ERI,39.0,1.0,38.0,187720,ULTRASOFT,True,192660,0 days 00:01:48.397000
9,ERI,40.0,1.0,39.0,192660,ULTRASOFT,True,197600,0 days 00:01:47.844000
9,ERI,41.0,1.0,40.0,197600,ULTRASOFT,True,202540,0 days 00:01:48.012000
9,ERI,42.0,1.0,41.0,202540,ULTRASOFT,True,207480,0 days 00:01:48.125000
9,ERI,43.0,1.0,42.0,207480,ULTRASOFT,True,212420,0 days 00:01:53.450000
9,ERI,44.0,1.0,43.0,212420,ULTRASOFT,True,217360,0 days 00:01:57.940000
9,ERI,45.0,1.0,44.0,217360,ULTRASOFT,True,222300,0 days 00:02:05.409000
9,ERI,46.0,1.0,45.0,222300,ULTRASOFT,True,227240,0 days 00:01:45.441000
9,ERI,47.0,1.0,46.0,227240,ULTRASOFT,True,232180,0 days 00:01:47.377000
9,ERI,48.0,1.0,47.0,232180,ULTRASOFT,True,237120,0 days 00:01:45.797000
9,ERI,49.0,1.0,48.0,237120,ULTRASOFT,True,242060,0 days 00:01:45.326000
9,ERI,50.0,1.0,49.0,242060,ULTRASOFT,True,247000,0 days 00:01:45.169000
9,ERI,51.0,1.0,50.0,247000,ULTRASOFT,True,251940,0 days 00:01:45.782000
9,ERI,52.0,1.0,51.0,251940,ULTRASOFT,True,256880,0 days 00:01:46.814000
9,ERI,53.0,1.0,52.0,256880,ULTRASOFT,True,261820,0 days 00:01:48.340000
9,ERI,54.0,1.0,53.0,261820,ULTRASOFT,True,266760,0 days 00:01:47.792000
9,ERI,55.0,1.0,54.0,266760,ULTRASOFT,True,271700,0 days 00:01:46.911000
9,ERI,56.0,1.0,55.0,271700,ULTRASOFT,True,276640,0 days 00:01:47.283000
9,ERI,57.0,2.0,1.0,4940,HYPERSOFT,True,281580,0 days 00:01:47.228000
9,ERI,58.0,2.0,2.0,9880,HYPERSOFT,True,286520,0 days 00:01:47.781000
9,ERI,59.0,2.0,3.0,14820,HYPERSOFT,True,291460,0 days 00:01:47.329000
9,ERI,60.0,2.0,4.0,19760,HYPERSOFT,True,296400,0 days 00:01:47.382000
